name,value,year,lastValue,rank,color
"Brucella",2.0,1943.0,0.0,1,"salmon"
"Coccidia",1.0,1943.0,0.0,2,"gold"
"Rickettsia",1.0,1943.0,0.0,3,"salmon"
"Mycobacterium tuberculosis",9.0,1944.0,0.0,1,"salmon"
"Varicella Zoster virus",2.0,1944.0,0.0,2,"lightskyblue"
"HAV",2.0,1944.0,0.0,3,"lightskyblue"
"Rickettsia",2.0,1944.0,1.0,4,"salmon"
"Plasmodium",2.0,1944.0,0.0,5,"gold"
"Variola",1.0,1944.0,0.0,6,"lightskyblue"
"Streptococcus pyogenes",1.0,1944.0,0.0,7,"salmon"
"Eurotiomycetes",1.0,1944.0,0.0,8,"olivedrab"
"Salmonella enterica",1.0,1944.0,0.0,9,"salmon"
"HEV",1.0,1944.0,0.0,10,"lightskyblue"
"Chlamydia",1.0,1944.0,0.0,11,"salmon"
"Clostridium",1.0,1944.0,0.0,12,"salmon"
"Poliovirus",1.0,1944.0,0.0,13,"lightskyblue"
"Yersinia pestis",1.0,1944.0,0.0,14,"salmon"
"Mycobacterium tuberculosis",287.0,1945.0,9.0,1,"salmon"
"Plasmodium",252.0,1945.0,2.0,2,"gold"
"Treponema",94.0,1945.0,0.0,3,"salmon"
"Salmonella enterica",91.0,1945.0,1.0,4,"salmon"
"Mycobacterium leprae",80.0,1945.0,0.0,5,"salmon"
"Rickettsia",72.0,1945.0,2.0,6,"salmon"
"Leishmania",71.0,1945.0,0.0,7,"gold"
"Streptococcus pyogenes",66.0,1945.0,1.0,8,"salmon"
"Clostridium",63.0,1945.0,1.0,9,"salmon"
"Influenza virus",61.0,1945.0,0.0,10,"lightskyblue"
"Brucella",61.0,1945.0,2.0,11,"salmon"
"Neisseria gonorrhoeae",58.0,1945.0,0.0,12,"salmon"
"Poliovirus",55.0,1945.0,1.0,13,"lightskyblue"
"Entamoeba histolytica",45.0,1945.0,0.0,14,"gold"
"HAV",36.0,1945.0,2.0,15,"lightskyblue"
"Chlamydia",32.0,1945.0,1.0,16,"salmon"
"Borrelia",31.0,1945.0,0.0,17,"salmon"
"Schistosoma",30.0,1945.0,0.0,18,"orange"
"Echinococcus",27.0,1945.0,0.0,19,"orange"
"Sarcoptes scabiei",22.0,1945.0,0.0,20,"blueviolet"
"Filarial worms",21.0,1945.0,0.0,21,"orange"
"Rabies virus",21.0,1945.0,0.0,22,"lightskyblue"
"Trypanosoma",21.0,1945.0,0.0,23,"gold"
"Shigella",20.0,1945.0,0.0,24,"salmon"
"Vibrio cholerae",20.0,1945.0,0.0,25,"salmon"
"Orientia tsutsugamushi",17.0,1945.0,0.0,26,"salmon"
"YFV",16.0,1945.0,0.0,27,"lightskyblue"
"EBV",16.0,1945.0,0.0,28,"lightskyblue"
"Leptospira",16.0,1945.0,0.0,29,"salmon"
"Ascaris",15.0,1945.0,0.0,30,"orange"
"Erysipelothrix",15.0,1945.0,0.0,31,"salmon"
"Yersinia pestis",14.0,1945.0,1.0,32,"salmon"
"Varicella Zoster virus",14.0,1945.0,2.0,33,"lightskyblue"
"Actinomyces",12.0,1945.0,0.0,34,"olivedrab"
"Blastomyces dermatitidis",11.0,1945.0,0.0,35,"olivedrab"
"Klebsiella",11.0,1945.0,0.0,36,"salmon"
"Variola",11.0,1945.0,1.0,37,"lightskyblue"
"Measles virus",10.0,1945.0,0.0,38,"lightskyblue"
"Bacillus anthracis",10.0,1945.0,0.0,39,"salmon"
"Pediculus",10.0,1945.0,0.0,40,"blueviolet"
"Enterobius vermicularis",10.0,1945.0,0.0,41,"orange"
"Trichomonas vaginalis",9.0,1945.0,0.0,42,"gold"
"Fusobacterium",9.0,1945.0,0.0,43,"salmon"
"DENV",9.0,1945.0,0.0,44,"lightskyblue"
"Ancylostoma",8.0,1945.0,0.0,45,"orange"
"Babesia",7.0,1945.0,0.0,46,"gold"
"Haemophilus ducreyi",7.0,1945.0,0.0,47,"salmon"
"Fly larva",6.0,1945.0,0.0,48,"blueviolet"
"Onchocerca",6.0,1945.0,0.0,49,"orange"
"Coccidia",6.0,1945.0,1.0,50,"gold"
"Trichophyton",6.0,1945.0,0.0,51,"olivedrab"
"Streptobacillus moniliformis or Spirillum minus",5.0,1945.0,0.0,52,"salmon"
"Candida",5.0,1945.0,0.0,53,"olivedrab"
"Mumps virus",5.0,1945.0,0.0,54,"lightskyblue"
"Pinworms",5.0,1945.0,0.0,55,"orange"
"Trichinella",5.0,1945.0,0.0,56,"orange"
"Histoplasma capsulatum",4.0,1945.0,0.0,57,"olivedrab"
"Bartonella",4.0,1945.0,0.0,58,"salmon"
"Phlebovirus",4.0,1945.0,0.0,59,"lightskyblue"
"Toxoplasma",4.0,1945.0,0.0,60,"gold"
"Actinomycetoma",3.0,1945.0,0.0,61,"salmon"
"Rubella",3.0,1945.0,0.0,62,"lightskyblue"
"Acari",3.0,1945.0,0.0,63,"blueviolet"
"Sporothrix",3.0,1945.0,0.0,64,"olivedrab"
"Newcastle disease virus",3.0,1945.0,0.0,65,"lightskyblue"
"Taenia solium.",3.0,1945.0,0.0,66,"orange"
"Burkholderia",3.0,1945.0,0.0,67,"salmon"
"HSV",3.0,1945.0,0.0,68,"lightskyblue"
"Giardia lamblia",3.0,1945.0,0.0,69,"gold"
"Paragonimus",2.0,1945.0,0.0,70,"orange"
"Strongyloides",2.0,1945.0,0.0,71,"orange"
"Cryptococcus",2.0,1945.0,0.0,72,"olivedrab"
"Balantidium coli",2.0,1945.0,0.0,73,"gold"
"Tick",2.0,1945.0,0.0,74,"blueviolet"
"Japanese encephalitis virus",2.0,1945.0,0.0,75,"lightskyblue"
"Eurotiomycetes",2.0,1945.0,1.0,76,"olivedrab"
"WEEV",1.0,1945.0,0.0,77,"lightskyblue"
"Listeria monocytogenes",1.0,1945.0,0.0,78,"salmon"
"HIV",1.0,1945.0,0.0,79,"lightskyblue"
"HPV",1.0,1945.0,0.0,80,"lightskyblue"
"Pasteurella",1.0,1945.0,0.0,81,"salmon"
"Coccidioides",1.0,1945.0,0.0,82,"olivedrab"
"Aspergillus",1.0,1945.0,0.0,83,"olivedrab"
"Gnathostoma",1.0,1945.0,0.0,84,"orange"
"Rhinosporidium seeberi",1.0,1945.0,0.0,85,"olivedrab"
"Hantavirus",1.0,1945.0,0.0,86,"lightskyblue"
"SLEV",1.0,1945.0,0.0,87,"lightskyblue"
"Molluscum Contagiosum virus",1.0,1945.0,0.0,88,"lightskyblue"
"Trichostrongylus",1.0,1945.0,0.0,89,"orange"
"VEEV",1.0,1945.0,0.0,90,"lightskyblue"
"Trypanosoma cruzi",1.0,1945.0,0.0,91,"gold"
"Vaccinia virus",1.0,1945.0,0.0,92,"lightskyblue"
"Protozoan",1.0,1945.0,0.0,93,"gold"
"Dirofilaria",1.0,1945.0,0.0,94,"orange"
"Cystoisospora",1.0,1945.0,0.0,95,"gold"
"TBEV",1.0,1945.0,0.0,96,"lightskyblue"
"Plasmodium",842.0,1946.0,252.0,1,"gold"
"Mycobacterium tuberculosis",778.0,1946.0,287.0,2,"salmon"
"Salmonella enterica",336.0,1946.0,91.0,3,"salmon"
"Treponema",305.0,1946.0,94.0,4,"salmon"
"Poliovirus",284.0,1946.0,55.0,5,"lightskyblue"
"Streptococcus pyogenes",249.0,1946.0,66.0,6,"salmon"
"Influenza virus",248.0,1946.0,61.0,7,"lightskyblue"
"Rickettsia",229.0,1946.0,72.0,8,"salmon"
"Neisseria gonorrhoeae",228.0,1946.0,58.0,9,"salmon"
"Mycobacterium leprae",212.0,1946.0,80.0,10,"salmon"
"HAV",186.0,1946.0,36.0,11,"lightskyblue"
"Clostridium",183.0,1946.0,63.0,12,"salmon"
"Schistosoma",151.0,1946.0,30.0,13,"orange"
"Brucella",146.0,1946.0,61.0,14,"salmon"
"Entamoeba histolytica",144.0,1946.0,45.0,15,"gold"
"Leishmania",140.0,1946.0,71.0,16,"gold"
"Chlamydia",107.0,1946.0,32.0,17,"salmon"
"Trypanosoma",92.0,1946.0,21.0,18,"gold"
"Shigella",82.0,1946.0,20.0,19,"salmon"
"Filarial worms",78.0,1946.0,21.0,20,"orange"
"Echinococcus",77.0,1946.0,27.0,21,"orange"
"Orientia tsutsugamushi",73.0,1946.0,17.0,22,"salmon"
"Varicella Zoster virus",65.0,1946.0,14.0,23,"lightskyblue"
"Borrelia",62.0,1946.0,31.0,24,"salmon"
"Variola",60.0,1946.0,11.0,25,"lightskyblue"
"Vibrio cholerae",58.0,1946.0,20.0,26,"salmon"
"Rabies virus",56.0,1946.0,21.0,27,"lightskyblue"
"Leptospira",55.0,1946.0,16.0,28,"salmon"
"Actinomyces",53.0,1946.0,12.0,29,"olivedrab"
"EBV",53.0,1946.0,16.0,30,"lightskyblue"
"Fusobacterium",50.0,1946.0,9.0,31,"salmon"
"Sarcoptes scabiei",47.0,1946.0,22.0,32,"blueviolet"
"Yersinia pestis",45.0,1946.0,14.0,33,"salmon"
"YFV",45.0,1946.0,16.0,34,"lightskyblue"
"Ancylostoma",38.0,1946.0,8.0,35,"orange"
"Bacillus anthracis",37.0,1946.0,10.0,36,"salmon"
"Blastomyces dermatitidis",36.0,1946.0,11.0,37,"olivedrab"
"Mumps virus",35.0,1946.0,5.0,38,"lightskyblue"
"Measles virus",33.0,1946.0,10.0,39,"lightskyblue"
"Trichophyton",33.0,1946.0,6.0,40,"olivedrab"
"Klebsiella",32.0,1946.0,11.0,41,"salmon"
"Ascaris",31.0,1946.0,15.0,42,"orange"
"Trichomonas vaginalis",30.0,1946.0,9.0,43,"gold"
"Erysipelothrix",30.0,1946.0,15.0,44,"salmon"
"Haemophilus ducreyi",29.0,1946.0,7.0,45,"salmon"
"Rubella",29.0,1946.0,3.0,46,"lightskyblue"
"Pediculus",28.0,1946.0,10.0,47,"blueviolet"
"Coccidioides",28.0,1946.0,1.0,48,"olivedrab"
"DENV",25.0,1946.0,9.0,49,"lightskyblue"
"Coccidia",24.0,1946.0,6.0,50,"gold"
"Babesia",23.0,1946.0,7.0,51,"gold"
"Histoplasma capsulatum",23.0,1946.0,4.0,52,"olivedrab"
"Fly larva",20.0,1946.0,6.0,53,"blueviolet"
"Candida",19.0,1946.0,5.0,54,"olivedrab"
"Enterobius vermicularis",19.0,1946.0,10.0,55,"orange"
"Newcastle disease virus",18.0,1946.0,3.0,56,"lightskyblue"
"Toxoplasma",18.0,1946.0,4.0,57,"gold"
"HIV",16.0,1946.0,1.0,58,"lightskyblue"
"Onchocerca",16.0,1946.0,6.0,59,"orange"
"Trichinella",16.0,1946.0,5.0,60,"orange"
"Taenia solium.",16.0,1946.0,3.0,61,"orange"
"Coxiella burnetii",14.0,1946.0,0.0,62,"salmon"
"Acari",14.0,1946.0,3.0,63,"blueviolet"
"Cryptococcus",13.0,1946.0,2.0,64,"olivedrab"
"Sporothrix",12.0,1946.0,3.0,65,"olivedrab"
"Streptobacillus moniliformis or Spirillum minus",11.0,1946.0,5.0,66,"salmon"
"HPV",11.0,1946.0,1.0,67,"lightskyblue"
"HSV",11.0,1946.0,3.0,68,"lightskyblue"
"Vaccinia virus",10.0,1946.0,1.0,69,"lightskyblue"
"Phlebovirus",10.0,1946.0,4.0,70,"lightskyblue"
"Japanese encephalitis virus",10.0,1946.0,2.0,71,"lightskyblue"
"WEEV",8.0,1946.0,1.0,72,"lightskyblue"
"Bartonella",8.0,1946.0,4.0,73,"salmon"
"Strongyloides",8.0,1946.0,2.0,74,"orange"
"Actinomycetoma",8.0,1946.0,3.0,75,"salmon"
"Pinworms",7.0,1946.0,5.0,76,"orange"
"Eurotiomycetes",7.0,1946.0,2.0,77,"olivedrab"
"Trypanosoma cruzi",7.0,1946.0,1.0,78,"gold"
"Giardia lamblia",7.0,1946.0,3.0,79,"gold"
"Tick",6.0,1946.0,2.0,80,"blueviolet"
"Molluscum Contagiosum virus",6.0,1946.0,1.0,81,"lightskyblue"
"Paragonimus",5.0,1946.0,2.0,82,"orange"
"Pasteurella",5.0,1946.0,1.0,83,"salmon"
"Aspergillus",5.0,1946.0,1.0,84,"olivedrab"
"Protozoan",5.0,1946.0,1.0,85,"gold"
"HBV",5.0,1946.0,0.0,86,"lightskyblue"
"Burkholderia",5.0,1946.0,3.0,87,"salmon"
"Coltivirus",4.0,1946.0,0.0,88,"lightskyblue"
"LCMV",4.0,1946.0,0.0,89,"lightskyblue"
"Rhinosporidium seeberi",4.0,1946.0,1.0,90,"olivedrab"
"SLEV",4.0,1946.0,1.0,91,"lightskyblue"
"Staphylococcus aureus",3.0,1946.0,0.0,92,"salmon"
