name,value,year,lastValue,rank,color
"Brucella",2.0,1943.0,0.0,1,"darkorange"
"Rickettsia",1.0,1943.0,0.0,2,"darkorange"
"Coccidia",1.0,1943.0,0.0,3,"lightpink"
"Varicella Zoster virus",2.0,1944.0,0.0,1,"turquoise"
"HAV",2.0,1944.0,0.0,2,"turquoise"
"Rickettsia",2.0,1944.0,1.0,3,"darkorange"
"Plasmodium",2.0,1944.0,0.0,4,"lightpink"
"Streptococcus pyogenes",1.0,1944.0,0.0,5,"darkorange"
"Chlamydia",1.0,1944.0,0.0,6,"darkorange"
"Variola",1.0,1944.0,0.0,7,"turquoise"
"Eurotiomycetes",1.0,1944.0,0.0,8,"chocolate"
"Poliovirus",1.0,1944.0,0.0,9,"turquoise"
"Clostridium",1.0,1944.0,0.0,10,"darkorange"
"Salmonella enterica",1.0,1944.0,0.0,11,"darkorange"
"HEV",1.0,1944.0,0.0,12,"turquoise"
"Yersinia pestis",1.0,1944.0,0.0,13,"darkorange"
"Plasmodium",252.0,1945.0,2.0,1,"lightpink"
"Treponema",94.0,1945.0,0.0,2,"darkorange"
"Salmonella enterica",91.0,1945.0,1.0,3,"darkorange"
"Mycobacterium leprae",80.0,1945.0,0.0,4,"darkorange"
"Rickettsia",72.0,1945.0,2.0,5,"darkorange"
"Leishmania",71.0,1945.0,0.0,6,"lightpink"
"Streptococcus pyogenes",66.0,1945.0,1.0,7,"darkorange"
"Clostridium",63.0,1945.0,1.0,8,"darkorange"
"Influenza virus",61.0,1945.0,0.0,9,"turquoise"
"Brucella",61.0,1945.0,2.0,10,"darkorange"
"Neisseria gonorrhoeae",58.0,1945.0,0.0,11,"darkorange"
"Poliovirus",55.0,1945.0,1.0,12,"turquoise"
"Entamoeba histolytica",45.0,1945.0,0.0,13,"lightpink"
"HAV",36.0,1945.0,2.0,14,"turquoise"
"Chlamydia",32.0,1945.0,1.0,15,"darkorange"
"Borrelia",31.0,1945.0,0.0,16,"darkorange"
"Schistosoma",30.0,1945.0,0.0,17,"skyblue"
"Echinococcus",27.0,1945.0,0.0,18,"skyblue"
"Sarcoptes scabiei",22.0,1945.0,0.0,19,"salmon"
"Rabies virus",21.0,1945.0,0.0,20,"turquoise"
"Trypanosoma",21.0,1945.0,0.0,21,"lightpink"
"Filarial worms",21.0,1945.0,0.0,22,"skyblue"
"Shigella",20.0,1945.0,0.0,23,"darkorange"
"Vibrio cholerae",20.0,1945.0,0.0,24,"darkorange"
"Orientia tsutsugamushi",17.0,1945.0,0.0,25,"darkorange"
"Leptospira",16.0,1945.0,0.0,26,"darkorange"
"EBV",16.0,1945.0,0.0,27,"turquoise"
"YFV",16.0,1945.0,0.0,28,"turquoise"
"Ascaris",15.0,1945.0,0.0,29,"skyblue"
"Erysipelothrix",15.0,1945.0,0.0,30,"darkorange"
"Varicella Zoster virus",14.0,1945.0,2.0,31,"turquoise"
"Yersinia pestis",14.0,1945.0,1.0,32,"darkorange"
"Actinomyces",12.0,1945.0,0.0,33,"chocolate"
"Klebsiella",11.0,1945.0,0.0,34,"darkorange"
"Variola",11.0,1945.0,1.0,35,"turquoise"
"Blastomyces dermatitidis",11.0,1945.0,0.0,36,"chocolate"
"Bacillus anthracis",10.0,1945.0,0.0,37,"darkorange"
"Enterobius vermicularis",10.0,1945.0,0.0,38,"skyblue"
"Pediculus",10.0,1945.0,0.0,39,"salmon"
"Measles virus",10.0,1945.0,0.0,40,"turquoise"
"Fusobacterium",9.0,1945.0,0.0,41,"darkorange"
"DENV",9.0,1945.0,0.0,42,"turquoise"
"Trichomonas vaginalis",9.0,1945.0,0.0,43,"lightpink"
"Ancylostoma",8.0,1945.0,0.0,44,"skyblue"
"Babesia",7.0,1945.0,0.0,45,"lightpink"
"Haemophilus ducreyi",7.0,1945.0,0.0,46,"darkorange"
"Trichophyton",6.0,1945.0,0.0,47,"chocolate"
"Coccidia",6.0,1945.0,1.0,48,"lightpink"
"Fly larva",6.0,1945.0,0.0,49,"salmon"
"Onchocerca",6.0,1945.0,0.0,50,"skyblue"
"Candida",5.0,1945.0,0.0,51,"chocolate"
"Mumps virus",5.0,1945.0,0.0,52,"turquoise"
"Trichinella",5.0,1945.0,0.0,53,"skyblue"
"Streptobacillus moniliformis or Spirillum minus",5.0,1945.0,0.0,54,"darkorange"
"Pinworms",5.0,1945.0,0.0,55,"skyblue"
"Phlebovirus",4.0,1945.0,0.0,56,"turquoise"
"Histoplasma capsulatum",4.0,1945.0,0.0,57,"chocolate"
"Toxoplasma",4.0,1945.0,0.0,58,"lightpink"
"Bartonella",4.0,1945.0,0.0,59,"darkorange"
