name,value,year,lastValue,rank
"Psoriasis",1.0,1942.0,0.0,1
"Mastitis",2.0,1943.0,0.0,1
"Pneumoconiosis",3.0,1944.0,0.0,1
"Conjunctivitis",3.0,1944.0,0.0,2
"Keratoconjunctivitis",2.0,1944.0,0.0,3
"Hepatitis",2.0,1944.0,0.0,4
"Asthma",1.0,1944.0,0.0,5
"Rheumatic Fever",1.0,1944.0,0.0,6
"Retinal Vasculitis",1.0,1944.0,0.0,7
"Uveoparotid Fever",1.0,1944.0,0.0,8
"Meningitis",1.0,1944.0,0.0,9
"Retinitis Pigmentosa",1.0,1944.0,0.0,10
"Guillain-Barre Syndrome",1.0,1944.0,0.0,11
"Keratitis",1.0,1944.0,0.0,12
"Endophthalmitis",1.0,1944.0,0.0,13
"Encephalitis",1.0,1944.0,0.0,14
"Ulcer",1.0,1944.0,0.0,15
"Retinitis",1.0,1944.0,0.0,16
"Anaphylaxis",1.0,1944.0,0.0,17
"Neuritis",1.0,1944.0,0.0,18
"Ophthalmia, Sympathetic",1.0,1944.0,0.0,19
"Hypersensitivity",115.0,1945.0,0.0,1
"Anaphylaxis",74.0,1945.0,1.0,2
"Rheumatic Fever",66.0,1945.0,1.0,3
"Ulcer",64.0,1945.0,1.0,4
"Meningitis",61.0,1945.0,1.0,5
"Osteomyelitis",54.0,1945.0,0.0,6
"Sepsis",50.0,1945.0,0.0,7
"Nephritis",45.0,1945.0,0.0,8
"Encephalitis",42.0,1945.0,1.0,9
"Dermatitis",40.0,1945.0,0.0,10
"Arthritis",38.0,1945.0,0.0,11
"Pneumoconiosis",34.0,1945.0,3.0,12
"Sarcoidosis",32.0,1945.0,0.0,13
"Endocarditis",26.0,1945.0,0.0,14
"Appendicitis",26.0,1945.0,0.0,15
"Asthma",25.0,1945.0,1.0,16
"Psoriasis",24.0,1945.0,1.0,17
"Hepatitis",20.0,1945.0,2.0,18
"Arthritis, Rheumatoid",19.0,1945.0,0.0,19
"Stomatitis",19.0,1945.0,0.0,20
"Pericarditis",19.0,1945.0,0.0,21
"Pemphigus",18.0,1945.0,0.0,22
"Dermatitis, Contact",18.0,1945.0,0.0,23
"Anemia, Pernicious",18.0,1945.0,0.0,24
"Lichen Planus",16.0,1945.0,0.0,25
"Graves Disease",16.0,1945.0,0.0,26
"Osteitis",16.0,1945.0,0.0,27
"Parotitis",13.0,1945.0,0.0,28
"Pharyngeal Diseases",13.0,1945.0,0.0,29
"Urticaria",13.0,1945.0,0.0,30
"Otitis",13.0,1945.0,0.0,31
"Gingivitis, Necrotizing Ulcerative",12.0,1945.0,0.0,32
"Neuritis",12.0,1945.0,1.0,33
"Rhinitis",11.0,1945.0,0.0,34
"Glomerulonephritis",11.0,1945.0,0.0,35
"Keratitis",11.0,1945.0,1.0,36
"Colitis, Ulcerative",10.0,1945.0,0.0,37
"Pancreatitis",10.0,1945.0,0.0,38
"Polyarteritis Nodosa",10.0,1945.0,0.0,39
"Peritonitis",10.0,1945.0,0.0,40
"Colitis",9.0,1945.0,0.0,41
"Otosclerosis",9.0,1945.0,0.0,42
"Mediastinitis",9.0,1945.0,0.0,43
"Erythema Nodosum",9.0,1945.0,0.0,44
"Encephalomyelitis",9.0,1945.0,0.0,45
"Dermatitis Herpetiformis",9.0,1945.0,0.0,46
"Endophthalmitis",9.0,1945.0,1.0,47
"Celiac Disease",9.0,1945.0,0.0,48
"Scurvy",9.0,1945.0,0.0,49
"Gastritis",9.0,1945.0,0.0,50
"Thrombophlebitis",9.0,1945.0,0.0,51
"Purpura, Schoenlein-Henoch",8.0,1945.0,0.0,52
"Sinusitis",8.0,1945.0,0.0,53
"Myocarditis",8.0,1945.0,0.0,54
"Conjunctivitis",8.0,1945.0,3.0,55
"Endometriosis",8.0,1945.0,0.0,56
"Pyoderma",7.0,1945.0,0.0,57
"Scleroderma, Systemic",7.0,1945.0,0.0,58
"Fibrous Dysplasia of Bone",7.0,1945.0,0.0,59
"Perinephritis",7.0,1945.0,0.0,60
"Chorea",7.0,1945.0,0.0,61
"Phlebitis",7.0,1945.0,0.0,62
"Pharyngitis",7.0,1945.0,0.0,63
"Guillain-Barre Syndrome",7.0,1945.0,1.0,64
"Tuberculosis, Laryngeal",7.0,1945.0,0.0,65
"Periodontitis",7.0,1945.0,0.0,66
"Scleroderma, Localized",6.0,1945.0,0.0,67
"Retinitis",6.0,1945.0,1.0,68
"Meningoencephalitis",6.0,1945.0,0.0,69
"Cellulitis",6.0,1945.0,0.0,70
"Mastoiditis",6.0,1945.0,0.0,71
"Disorders of Sex Development",6.0,1945.0,0.0,72
"Parapsoriasis",6.0,1945.0,0.0,73
"Noma",6.0,1945.0,0.0,74
"Addison Disease",6.0,1945.0,0.0,75
"Keratoconjunctivitis",6.0,1945.0,2.0,76
"Thromboangiitis Obliterans",6.0,1945.0,0.0,77
"Bronchitis",5.0,1945.0,0.0,78
"Dermatomyositis",5.0,1945.0,0.0,79
"Rhinitis, Allergic, Seasonal",5.0,1945.0,0.0,80
"Osteoarthritis",5.0,1945.0,0.0,81
"Pulmonary Eosinophilia",5.0,1945.0,0.0,82
"Arthritis, Reactive",5.0,1945.0,0.0,83
"Mastitis",5.0,1945.0,2.0,84
"Granuloma Annulare",5.0,1945.0,0.0,85
"Multiple Sclerosis",5.0,1945.0,0.0,86
"Pityriasis Lichenoides",5.0,1945.0,0.0,87
"Empyema, Pleural",5.0,1945.0,0.0,88
"Folliculitis",4.0,1945.0,0.0,89
"Optic Neuritis",4.0,1945.0,0.0,90
"Iridocyclitis",4.0,1945.0,0.0,91
"Laryngitis",4.0,1945.0,0.0,92
"Meniere Disease",4.0,1945.0,0.0,93
"Rhinitis, Atrophic",4.0,1945.0,0.0,94
"Epididymitis",4.0,1945.0,0.0,95
"Rhinitis, Vasomotor",4.0,1945.0,0.0,96
"Raynaud Disease",4.0,1945.0,0.0,97
"Dermatitis, Seborrheic",4.0,1945.0,0.0,98
"Osteochondritis",3.0,1945.0,0.0,99
"Dermatitis, Atopic",3.0,1945.0,0.0,100
"Cystitis",3.0,1945.0,0.0,101
"Food Hypersensitivity",3.0,1945.0,0.0,102
"Mikulicz' Disease",3.0,1945.0,0.0,103
"Vaginitis",3.0,1945.0,0.0,104
"Liver Cirrhosis, Biliary",3.0,1945.0,0.0,105
"Mesenteric Lymphadenitis",3.0,1945.0,0.0,106
"Myasthenia Gravis",3.0,1945.0,0.0,107
"Myositis",3.0,1945.0,0.0,108
"Neurodermatitis",3.0,1945.0,0.0,109
"Fox-Fordyce Disease",2.0,1945.0,0.0,110
"Cholecystitis",2.0,1945.0,0.0,111
"Cholangitis",2.0,1945.0,0.0,112
"Brachial Plexus Neuritis",2.0,1945.0,0.0,113
"Retinitis Pigmentosa",2.0,1945.0,1.0,114
"Spondylitis, Ankylosing",2.0,1945.0,0.0,115
"Neutropenia",2.0,1945.0,0.0,116
"Frontal Sinusitis",2.0,1945.0,0.0,117
"Tenosynovitis",2.0,1945.0,0.0,118
"Alopecia Areata",2.0,1945.0,0.0,119
"Stomatitis, Aphthous",2.0,1945.0,0.0,120
"Myelitis",2.0,1945.0,0.0,121
"Crohn Disease",2.0,1945.0,0.0,122
"Pyelonephritis",2.0,1945.0,0.0,123
"Pulpitis",2.0,1945.0,0.0,124
"Maxillary Sinusitis",2.0,1945.0,0.0,125
"Croup",2.0,1945.0,0.0,126
"Dermatitis, Occupational",2.0,1945.0,0.0,127
"Nasopharyngitis",2.0,1945.0,0.0,128
"Gingivitis",2.0,1945.0,0.0,129
"Acrodermatitis",2.0,1945.0,0.0,130
"Dry Socket",2.0,1945.0,0.0,131
"Hemoglobinuria, Paroxysmal",2.0,1945.0,0.0,132
"Diverticulitis",2.0,1945.0,0.0,133
"Panuveitis",2.0,1945.0,0.0,134
"Arthritis, Juvenile",2.0,1945.0,0.0,135
"Periostitis",2.0,1945.0,0.0,136
"Leukorrhea",2.0,1945.0,0.0,137
"Pyoderma Gangrenosum",2.0,1945.0,0.0,138
"Tracheitis",2.0,1945.0,0.0,139
"Waterhouse-Friderichsen Syndrome",2.0,1945.0,0.0,140
"Gastroenteritis",2.0,1945.0,0.0,141
"Fibromyalgia",2.0,1945.0,0.0,142
"Lichen Sclerosus et Atrophicus",2.0,1945.0,0.0,143
"Paget's Disease, Mammary",1.0,1945.0,0.0,144
"Vitiligo",1.0,1945.0,0.0,145
"Urethritis",1.0,1945.0,0.0,146
"Rhinitis, Allergic",1.0,1945.0,0.0,147
"Lymphangitis",1.0,1945.0,0.0,148
"Lymphadenitis",1.0,1945.0,0.0,149
"Prostatitis",1.0,1945.0,0.0,150
"Esophagitis",1.0,1945.0,0.0,151
"Keratitis, Dendritic",1.0,1945.0,0.0,152
"Mononeuropathies",1.0,1945.0,0.0,153
"Dandruff",1.0,1945.0,0.0,154
"Parametritis",1.0,1945.0,0.0,155
"Arachnoiditis",1.0,1945.0,0.0,156
"Ludwig's Angina",1.0,1945.0,0.0,157
"Ethmoid Sinusitis",1.0,1945.0,0.0,158
"Tonsillitis",1.0,1945.0,0.0,159
"Panniculitis, Nodular Nonsuppurative",1.0,1945.0,0.0,160
"Osteochondritis Dissecans",1.0,1945.0,0.0,161
"Salpingitis",1.0,1945.0,0.0,162
"Tietze's Syndrome",1.0,1945.0,0.0,163
"Vulvovaginitis",1.0,1945.0,0.0,164
"Gout",1.0,1945.0,0.0,165
"Panniculitis",1.0,1945.0,0.0,166
"Pulmonary Fibrosis",1.0,1945.0,0.0,167
"Sciatic Neuropathy",1.0,1945.0,0.0,168
"Sjogren's Syndrome",1.0,1945.0,0.0,169
"Orchitis",1.0,1945.0,0.0,170
"Purpura, Thrombocytopenic",1.0,1945.0,0.0,171
"Bell Palsy",1.0,1945.0,0.0,172
"Iritis",1.0,1945.0,0.0,173
"Berylliosis",1.0,1945.0,0.0,174
"Synovitis",1.0,1945.0,0.0,175
"Petrositis",1.0,1945.0,0.0,176
"Lichenoid Eruptions",1.0,1945.0,0.0,177
"Aggressive Periodontitis",1.0,1945.0,0.0,178
"Paronychia",1.0,1945.0,0.0,179
"Pericarditis, Constrictive",1.0,1945.0,0.0,180
"Glossitis",1.0,1945.0,0.0,181
"Pericoronitis",1.0,1945.0,0.0,182
"Vasculitis",1.0,1945.0,0.0,183
"Blepharitis",1.0,1945.0,0.0,184
"Facial Nerve Diseases",1.0,1945.0,0.0,185
"Leukoencephalitis, Acute Hemorrhagic",1.0,1945.0,0.0,186
"Reflex Sympathetic Dystrophy",1.0,1945.0,0.0,187
"Otomycosis",1.0,1945.0,0.0,188
"Shwartzman Phenomenon",1.0,1945.0,0.0,189
"Hypersensitivity",466.0,1946.0,115.0,1
"Anaphylaxis",317.0,1946.0,74.0,2
"Arthritis",251.0,1946.0,38.0,3
"Meningitis",251.0,1946.0,61.0,4
"Rheumatic Fever",249.0,1946.0,66.0,5
"Ulcer",207.0,1946.0,64.0,6
"Osteomyelitis",180.0,1946.0,54.0,7
"Endocarditis",174.0,1946.0,26.0,8
"Sepsis",164.0,1946.0,50.0,9
"Dermatitis",152.0,1946.0,40.0,10
"Asthma",129.0,1946.0,25.0,11
"Appendicitis",119.0,1946.0,26.0,12
"Nephritis",115.0,1946.0,45.0,13
"Encephalitis",108.0,1946.0,42.0,14
"Pneumoconiosis",106.0,1946.0,34.0,15
"Sarcoidosis",102.0,1946.0,32.0,16
"Arthritis, Rheumatoid",88.0,1946.0,19.0,17
"Hepatitis",80.0,1946.0,20.0,18
"Dermatitis, Contact",78.0,1946.0,18.0,19
"Pemphigus",72.0,1946.0,18.0,20
"Neuritis",72.0,1946.0,12.0,21
"Anemia, Pernicious",71.0,1946.0,18.0,22
"Lichen Planus",70.0,1946.0,16.0,23
"Peritonitis",63.0,1946.0,10.0,24
"Psoriasis",63.0,1946.0,24.0,25
"Urticaria",61.0,1946.0,13.0,26
"Osteitis",61.0,1946.0,16.0,27
"Parotitis",60.0,1946.0,13.0,28
"Pericarditis",60.0,1946.0,19.0,29
"Graves Disease",59.0,1946.0,16.0,30
"Endometriosis",54.0,1946.0,8.0,31
"Scleroderma, Systemic",53.0,1946.0,7.0,32
"Encephalomyelitis",51.0,1946.0,9.0,33
"Rhinitis",51.0,1946.0,11.0,34
"Scleroderma, Localized",51.0,1946.0,6.0,35
"Colitis, Ulcerative",51.0,1946.0,10.0,36
"Celiac Disease",50.0,1946.0,9.0,37
"Gingivitis, Necrotizing Ulcerative",49.0,1946.0,12.0,38
"Otosclerosis",49.0,1946.0,9.0,39
"Polyarteritis Nodosa",48.0,1946.0,10.0,40
"Endophthalmitis",48.0,1946.0,9.0,41
"Stomatitis",47.0,1946.0,19.0,42
"Thrombophlebitis",46.0,1946.0,9.0,43
"Conjunctivitis",44.0,1946.0,8.0,44
"Pancreatitis",40.0,1946.0,10.0,45
"Rhinitis, Allergic, Seasonal",39.0,1946.0,5.0,46
"Glomerulonephritis",38.0,1946.0,11.0,47
"Myocarditis",36.0,1946.0,8.0,48
"Scurvy",33.0,1946.0,9.0,49
"Guillain-Barre Syndrome",31.0,1946.0,7.0,50
"Dermatitis Herpetiformis",31.0,1946.0,9.0,51
"Thromboangiitis Obliterans",30.0,1946.0,6.0,52
"Disorders of Sex Development",30.0,1946.0,6.0,53
"Multiple Sclerosis",30.0,1946.0,5.0,54
"Pharyngeal Diseases",30.0,1946.0,13.0,55
"Keratitis",30.0,1946.0,11.0,56
"Myasthenia Gravis",30.0,1946.0,3.0,57
"Phlebitis",30.0,1946.0,7.0,58
"Gastritis",30.0,1946.0,9.0,59
"Sinusitis",29.0,1946.0,8.0,60
"Mastitis",29.0,1946.0,5.0,61
"Myelitis",29.0,1946.0,2.0,62
"Optic Neuritis",28.0,1946.0,4.0,63
"Periodontitis",28.0,1946.0,7.0,64
"Mastoiditis",28.0,1946.0,6.0,65
"Parapsoriasis",28.0,1946.0,6.0,66
"Pharyngitis",27.0,1946.0,7.0,67
"Cellulitis",27.0,1946.0,6.0,68
"Otitis",27.0,1946.0,13.0,69
"Keratoconjunctivitis",26.0,1946.0,6.0,70
"Purpura, Schoenlein-Henoch",26.0,1946.0,8.0,71
"Colitis",25.0,1946.0,9.0,72
"Retinitis",25.0,1946.0,6.0,73
"Rhinitis, Vasomotor",25.0,1946.0,4.0,74
"Folliculitis",24.0,1946.0,4.0,75
"Chorea",24.0,1946.0,7.0,76
"Fibrous Dysplasia of Bone",23.0,1946.0,7.0,77
"Arthritis, Reactive",23.0,1946.0,5.0,78
"Neurodermatitis",22.0,1946.0,3.0,79
"Mediastinitis",22.0,1946.0,9.0,80
"Pyoderma",22.0,1946.0,7.0,81
"Addison Disease",22.0,1946.0,6.0,82
"Cholecystitis",21.0,1946.0,2.0,83
"Erythema Nodosum",21.0,1946.0,9.0,84
"Dermatomyositis",20.0,1946.0,5.0,85
"Myositis",20.0,1946.0,3.0,86
"Food Hypersensitivity",19.0,1946.0,3.0,87
"Tuberculosis, Laryngeal",19.0,1946.0,7.0,88
"Crohn Disease",19.0,1946.0,2.0,89
"Osteochondritis",19.0,1946.0,3.0,90
"Raynaud Disease",19.0,1946.0,4.0,91
"Meniere Disease",17.0,1946.0,4.0,92
"Granuloma Annulare",17.0,1946.0,5.0,93
"Perinephritis",17.0,1946.0,7.0,94
"Osteoarthritis",17.0,1946.0,5.0,95
"Dermatitis, Seborrheic",16.0,1946.0,4.0,96
"Urethritis",16.0,1946.0,1.0,97
"Gout",16.0,1946.0,1.0,98
"Gastroenteritis",15.0,1946.0,2.0,99
"Bronchitis",15.0,1946.0,5.0,100
"Purpura, Thrombocytopenic",15.0,1946.0,1.0,101
"Meningoencephalitis",15.0,1946.0,6.0,102
"Iridocyclitis",15.0,1946.0,4.0,103
"Tonsillitis",15.0,1946.0,1.0,104
"Diverticulitis",14.0,1946.0,2.0,105
"Vaginitis",14.0,1946.0,3.0,106
"Dermatitis, Occupational",14.0,1946.0,2.0,107
"Retinitis Pigmentosa",13.0,1946.0,2.0,108
"Epididymitis",13.0,1946.0,4.0,109
"Acrodermatitis",13.0,1946.0,2.0,110
"Stomatitis, Aphthous",13.0,1946.0,2.0,111
"Noma",13.0,1946.0,6.0,112
"Dermatitis, Atopic",13.0,1946.0,3.0,113
"Empyema, Pleural",12.0,1946.0,5.0,114
"Pyelonephritis",12.0,1946.0,2.0,115
"Ophthalmia, Sympathetic",12.0,1946.0,1.0,116
