name,value,year,lastValue,rank
"Psoriasis",1.0,1942.0,0.0,1
"Mastitis",2.0,1943.0,0.0,1
"Pneumoconiosis",3.0,1944.0,0.0,1
"Conjunctivitis",3.0,1944.0,0.0,2
"Hepatitis",2.0,1944.0,0.0,3
"Keratoconjunctivitis",2.0,1944.0,0.0,4
"Rheumatic Fever",1.0,1944.0,0.0,5
"Retinitis Pigmentosa",1.0,1944.0,0.0,6
"Anaphylaxis",1.0,1944.0,0.0,7
"Ulcer",1.0,1944.0,0.0,8
"Guillain-Barre Syndrome",1.0,1944.0,0.0,9
"Keratitis",1.0,1944.0,0.0,10
"Endophthalmitis",1.0,1944.0,0.0,11
"Meningitis",1.0,1944.0,0.0,12
"Retinitis",1.0,1944.0,0.0,13
"Retinal Vasculitis",1.0,1944.0,0.0,14
"Uveoparotid Fever",1.0,1944.0,0.0,15
"Asthma",1.0,1944.0,0.0,16
"Encephalitis",1.0,1944.0,0.0,17
"Ophthalmia, Sympathetic",1.0,1944.0,0.0,18
"Neuritis",1.0,1944.0,0.0,19
"Anaphylaxis",74.0,1945.0,1.0,1
"Rheumatic Fever",66.0,1945.0,1.0,2
"Ulcer",64.0,1945.0,1.0,3
"Meningitis",61.0,1945.0,1.0,4
"Osteomyelitis",54.0,1945.0,0.0,5
"Sepsis",50.0,1945.0,0.0,6
"Nephritis",45.0,1945.0,0.0,7
"Encephalitis",42.0,1945.0,1.0,8
"Dermatitis",40.0,1945.0,0.0,9
"Arthritis",38.0,1945.0,0.0,10
"Pneumoconiosis",34.0,1945.0,3.0,11
"Sarcoidosis",32.0,1945.0,0.0,12
"Appendicitis",26.0,1945.0,0.0,13
"Endocarditis",26.0,1945.0,0.0,14
"Asthma",25.0,1945.0,1.0,15
"Psoriasis",24.0,1945.0,1.0,16
"Hepatitis",20.0,1945.0,2.0,17
"Pericarditis",19.0,1945.0,0.0,18
"Arthritis, Rheumatoid",19.0,1945.0,0.0,19
"Stomatitis",19.0,1945.0,0.0,20
"Dermatitis, Contact",18.0,1945.0,0.0,21
"Anemia, Pernicious",18.0,1945.0,0.0,22
"Pemphigus",18.0,1945.0,0.0,23
"Osteitis",16.0,1945.0,0.0,24
"Graves Disease",16.0,1945.0,0.0,25
"Lichen Planus",16.0,1945.0,0.0,26
"Otitis",13.0,1945.0,0.0,27
"Parotitis",13.0,1945.0,0.0,28
"Urticaria",13.0,1945.0,0.0,29
"Pharyngeal Diseases",13.0,1945.0,0.0,30
"Gingivitis, Necrotizing Ulcerative",12.0,1945.0,0.0,31
"Neuritis",12.0,1945.0,1.0,32
"Rhinitis",11.0,1945.0,0.0,33
"Glomerulonephritis",11.0,1945.0,0.0,34
"Keratitis",11.0,1945.0,1.0,35
"Polyarteritis Nodosa",10.0,1945.0,0.0,36
"Colitis, Ulcerative",10.0,1945.0,0.0,37
"Peritonitis",10.0,1945.0,0.0,38
"Pancreatitis",10.0,1945.0,0.0,39
"Thrombophlebitis",9.0,1945.0,0.0,40
"Encephalomyelitis",9.0,1945.0,0.0,41
"Mediastinitis",9.0,1945.0,0.0,42
"Scurvy",9.0,1945.0,0.0,43
"Dermatitis Herpetiformis",9.0,1945.0,0.0,44
"Celiac Disease",9.0,1945.0,0.0,45
"Endophthalmitis",9.0,1945.0,1.0,46
"Otosclerosis",9.0,1945.0,0.0,47
"Gastritis",9.0,1945.0,0.0,48
"Erythema Nodosum",9.0,1945.0,0.0,49
"Colitis",9.0,1945.0,0.0,50
"Sinusitis",8.0,1945.0,0.0,51
"Conjunctivitis",8.0,1945.0,3.0,52
"Purpura, Schoenlein-Henoch",8.0,1945.0,0.0,53
"Endometriosis",8.0,1945.0,0.0,54
"Myocarditis",8.0,1945.0,0.0,55
"Fibrous Dysplasia of Bone",7.0,1945.0,0.0,56
"Tuberculosis, Laryngeal",7.0,1945.0,0.0,57
"Guillain-Barre Syndrome",7.0,1945.0,1.0,58
"Phlebitis",7.0,1945.0,0.0,59
"Perinephritis",7.0,1945.0,0.0,60
"Pyoderma",7.0,1945.0,0.0,61
"Pharyngitis",7.0,1945.0,0.0,62
"Periodontitis",7.0,1945.0,0.0,63
"Scleroderma, Systemic",7.0,1945.0,0.0,64
"Chorea",7.0,1945.0,0.0,65
"Cellulitis",6.0,1945.0,0.0,66
"Keratoconjunctivitis",6.0,1945.0,2.0,67
"Parapsoriasis",6.0,1945.0,0.0,68
"Thromboangiitis Obliterans",6.0,1945.0,0.0,69
"Addison Disease",6.0,1945.0,0.0,70
"Disorders of Sex Development",6.0,1945.0,0.0,71
"Retinitis",6.0,1945.0,1.0,72
"Meningoencephalitis",6.0,1945.0,0.0,73
"Mastoiditis",6.0,1945.0,0.0,74
"Scleroderma, Localized",6.0,1945.0,0.0,75
"Noma",6.0,1945.0,0.0,76
"Dermatomyositis",5.0,1945.0,0.0,77
"Empyema, Pleural",5.0,1945.0,0.0,78
"Mastitis",5.0,1945.0,2.0,79
"Granuloma Annulare",5.0,1945.0,0.0,80
"Pityriasis Lichenoides",5.0,1945.0,0.0,81
"Multiple Sclerosis",5.0,1945.0,0.0,82
"Arthritis, Reactive",5.0,1945.0,0.0,83
"Bronchitis",5.0,1945.0,0.0,84
"Osteoarthritis",5.0,1945.0,0.0,85
"Rhinitis, Allergic, Seasonal",5.0,1945.0,0.0,86
"Pulmonary Eosinophilia",5.0,1945.0,0.0,87
"Folliculitis",4.0,1945.0,0.0,88
"Meniere Disease",4.0,1945.0,0.0,89
"Iridocyclitis",4.0,1945.0,0.0,90
"Dermatitis, Seborrheic",4.0,1945.0,0.0,91
"Laryngitis",4.0,1945.0,0.0,92
"Raynaud Disease",4.0,1945.0,0.0,93
"Optic Neuritis",4.0,1945.0,0.0,94
"Rhinitis, Vasomotor",4.0,1945.0,0.0,95
"Epididymitis",4.0,1945.0,0.0,96
"Rhinitis, Atrophic",4.0,1945.0,0.0,97
"Neurodermatitis",3.0,1945.0,0.0,98
"Osteochondritis",3.0,1945.0,0.0,99
"Dermatitis, Atopic",3.0,1945.0,0.0,100
"Mesenteric Lymphadenitis",3.0,1945.0,0.0,101
"Mikulicz' Disease",3.0,1945.0,0.0,102
"Myasthenia Gravis",3.0,1945.0,0.0,103
"Myositis",3.0,1945.0,0.0,104
"Liver Cirrhosis, Biliary",3.0,1945.0,0.0,105
"Vaginitis",3.0,1945.0,0.0,106
"Cystitis",3.0,1945.0,0.0,107
"Food Hypersensitivity",3.0,1945.0,0.0,108
"Dermatitis, Occupational",2.0,1945.0,0.0,109
"Maxillary Sinusitis",2.0,1945.0,0.0,110
"Alopecia Areata",2.0,1945.0,0.0,111
"Waterhouse-Friderichsen Syndrome",2.0,1945.0,0.0,112
"Hemoglobinuria, Paroxysmal",2.0,1945.0,0.0,113
"Pyoderma Gangrenosum",2.0,1945.0,0.0,114
"Fibromyalgia",2.0,1945.0,0.0,115
"Acrodermatitis",2.0,1945.0,0.0,116
"Croup",2.0,1945.0,0.0,117
"Arthritis, Juvenile",2.0,1945.0,0.0,118
"Crohn Disease",2.0,1945.0,0.0,119
"Spondylitis, Ankylosing",2.0,1945.0,0.0,120
"Lichen Sclerosus et Atrophicus",2.0,1945.0,0.0,121
"Panuveitis",2.0,1945.0,0.0,122
"Neutropenia",2.0,1945.0,0.0,123
"Periostitis",2.0,1945.0,0.0,124
"Stomatitis, Aphthous",2.0,1945.0,0.0,125
"Pyelonephritis",2.0,1945.0,0.0,126
"Tenosynovitis",2.0,1945.0,0.0,127
"Dry Socket",2.0,1945.0,0.0,128
"Gastroenteritis",2.0,1945.0,0.0,129
"Brachial Plexus Neuritis",2.0,1945.0,0.0,130
"Gingivitis",2.0,1945.0,0.0,131
"Diverticulitis",2.0,1945.0,0.0,132
"Retinitis Pigmentosa",2.0,1945.0,1.0,133
"Myelitis",2.0,1945.0,0.0,134
"Cholecystitis",2.0,1945.0,0.0,135
"Pulpitis",2.0,1945.0,0.0,136
"Tracheitis",2.0,1945.0,0.0,137
"Frontal Sinusitis",2.0,1945.0,0.0,138
"Leukorrhea",2.0,1945.0,0.0,139
"Cholangitis",2.0,1945.0,0.0,140
"Nasopharyngitis",2.0,1945.0,0.0,141
"Fox-Fordyce Disease",2.0,1945.0,0.0,142
"Rhinitis, Allergic",1.0,1945.0,0.0,143
"Petrositis",1.0,1945.0,0.0,144
"Esophagitis",1.0,1945.0,0.0,145
"Pericoronitis",1.0,1945.0,0.0,146
"Gout",1.0,1945.0,0.0,147
"Osteochondritis Dissecans",1.0,1945.0,0.0,148
"Parametritis",1.0,1945.0,0.0,149
"Bell Palsy",1.0,1945.0,0.0,150
"Iritis",1.0,1945.0,0.0,151
"Panniculitis, Nodular Nonsuppurative",1.0,1945.0,0.0,152
"Reflex Sympathetic Dystrophy",1.0,1945.0,0.0,153
"Pericarditis, Constrictive",1.0,1945.0,0.0,154
"Panniculitis",1.0,1945.0,0.0,155
"Sciatic Neuropathy",1.0,1945.0,0.0,156
"Purpura, Thrombocytopenic",1.0,1945.0,0.0,157
"Dandruff",1.0,1945.0,0.0,158
"Paronychia",1.0,1945.0,0.0,159
"Sjogren's Syndrome",1.0,1945.0,0.0,160
"Pulmonary Fibrosis",1.0,1945.0,0.0,161
"Blepharitis",1.0,1945.0,0.0,162
"Vulvovaginitis",1.0,1945.0,0.0,163
"Lymphadenitis",1.0,1945.0,0.0,164
"Prostatitis",1.0,1945.0,0.0,165
"Leukoencephalitis, Acute Hemorrhagic",1.0,1945.0,0.0,166
"Berylliosis",1.0,1945.0,0.0,167
"Ludwig's Angina",1.0,1945.0,0.0,168
"Paget's Disease, Mammary",1.0,1945.0,0.0,169
"Lymphangitis",1.0,1945.0,0.0,170
"Aggressive Periodontitis",1.0,1945.0,0.0,171
"Tietze's Syndrome",1.0,1945.0,0.0,172
"Arachnoiditis",1.0,1945.0,0.0,173
"Mononeuropathies",1.0,1945.0,0.0,174
"Otomycosis",1.0,1945.0,0.0,175
"Shwartzman Phenomenon",1.0,1945.0,0.0,176
"Vitiligo",1.0,1945.0,0.0,177
"Glossitis",1.0,1945.0,0.0,178
"Tonsillitis",1.0,1945.0,0.0,179
"Salpingitis",1.0,1945.0,0.0,180
"Ethmoid Sinusitis",1.0,1945.0,0.0,181
"Synovitis",1.0,1945.0,0.0,182
"Urethritis",1.0,1945.0,0.0,183
"Lichenoid Eruptions",1.0,1945.0,0.0,184
"Keratitis, Dendritic",1.0,1945.0,0.0,185
"Orchitis",1.0,1945.0,0.0,186
"Facial Nerve Diseases",1.0,1945.0,0.0,187
"Vasculitis",1.0,1945.0,0.0,188
"Anaphylaxis",317.0,1946.0,74.0,1
"Arthritis",251.0,1946.0,38.0,2
"Meningitis",251.0,1946.0,61.0,3
"Rheumatic Fever",249.0,1946.0,66.0,4
"Ulcer",207.0,1946.0,64.0,5
"Osteomyelitis",180.0,1946.0,54.0,6
"Endocarditis",174.0,1946.0,26.0,7
"Sepsis",164.0,1946.0,50.0,8
"Dermatitis",152.0,1946.0,40.0,9
"Asthma",129.0,1946.0,25.0,10
"Appendicitis",119.0,1946.0,26.0,11
"Nephritis",115.0,1946.0,45.0,12
"Encephalitis",108.0,1946.0,42.0,13
"Pneumoconiosis",106.0,1946.0,34.0,14
"Sarcoidosis",102.0,1946.0,32.0,15
"Arthritis, Rheumatoid",88.0,1946.0,19.0,16
"Hepatitis",80.0,1946.0,20.0,17
"Dermatitis, Contact",78.0,1946.0,18.0,18
"Neuritis",72.0,1946.0,12.0,19
"Pemphigus",72.0,1946.0,18.0,20
"Anemia, Pernicious",71.0,1946.0,18.0,21
"Lichen Planus",70.0,1946.0,16.0,22
"Peritonitis",63.0,1946.0,10.0,23
"Psoriasis",63.0,1946.0,24.0,24
"Urticaria",61.0,1946.0,13.0,25
"Osteitis",61.0,1946.0,16.0,26
"Parotitis",60.0,1946.0,13.0,27
"Pericarditis",60.0,1946.0,19.0,28
"Graves Disease",59.0,1946.0,16.0,29
"Endometriosis",54.0,1946.0,8.0,30
"Scleroderma, Systemic",53.0,1946.0,7.0,31
"Rhinitis",51.0,1946.0,11.0,32
"Scleroderma, Localized",51.0,1946.0,6.0,33
"Encephalomyelitis",51.0,1946.0,9.0,34
"Colitis, Ulcerative",51.0,1946.0,10.0,35
"Celiac Disease",50.0,1946.0,9.0,36
"Otosclerosis",49.0,1946.0,9.0,37
"Gingivitis, Necrotizing Ulcerative",49.0,1946.0,12.0,38
"Polyarteritis Nodosa",48.0,1946.0,10.0,39
"Endophthalmitis",48.0,1946.0,9.0,40
"Stomatitis",47.0,1946.0,19.0,41
"Thrombophlebitis",46.0,1946.0,9.0,42
"Conjunctivitis",44.0,1946.0,8.0,43
"Pancreatitis",40.0,1946.0,10.0,44
"Rhinitis, Allergic, Seasonal",39.0,1946.0,5.0,45
"Glomerulonephritis",38.0,1946.0,11.0,46
"Myocarditis",36.0,1946.0,8.0,47
"Scurvy",33.0,1946.0,9.0,48
"Guillain-Barre Syndrome",31.0,1946.0,7.0,49
"Dermatitis Herpetiformis",31.0,1946.0,9.0,50
"Gastritis",30.0,1946.0,9.0,51
"Phlebitis",30.0,1946.0,7.0,52
"Multiple Sclerosis",30.0,1946.0,5.0,53
"Myasthenia Gravis",30.0,1946.0,3.0,54
"Pharyngeal Diseases",30.0,1946.0,13.0,55
"Disorders of Sex Development",30.0,1946.0,6.0,56
"Keratitis",30.0,1946.0,11.0,57
"Thromboangiitis Obliterans",30.0,1946.0,6.0,58
"Mastitis",29.0,1946.0,5.0,59
"Myelitis",29.0,1946.0,2.0,60
"Sinusitis",29.0,1946.0,8.0,61
"Optic Neuritis",28.0,1946.0,4.0,62
"Parapsoriasis",28.0,1946.0,6.0,63
"Periodontitis",28.0,1946.0,7.0,64
"Mastoiditis",28.0,1946.0,6.0,65
"Pharyngitis",27.0,1946.0,7.0,66
"Otitis",27.0,1946.0,13.0,67
"Cellulitis",27.0,1946.0,6.0,68
"Purpura, Schoenlein-Henoch",26.0,1946.0,8.0,69
"Keratoconjunctivitis",26.0,1946.0,6.0,70
"Rhinitis, Vasomotor",25.0,1946.0,4.0,71
"Colitis",25.0,1946.0,9.0,72
"Retinitis",25.0,1946.0,6.0,73
"Folliculitis",24.0,1946.0,4.0,74
"Chorea",24.0,1946.0,7.0,75
"Fibrous Dysplasia of Bone",23.0,1946.0,7.0,76
"Arthritis, Reactive",23.0,1946.0,5.0,77
"Mediastinitis",22.0,1946.0,9.0,78
"Pyoderma",22.0,1946.0,7.0,79
"Neurodermatitis",22.0,1946.0,3.0,80
"Addison Disease",22.0,1946.0,6.0,81
"Erythema Nodosum",21.0,1946.0,9.0,82
"Cholecystitis",21.0,1946.0,2.0,83
"Dermatomyositis",20.0,1946.0,5.0,84
"Myositis",20.0,1946.0,3.0,85
"Crohn Disease",19.0,1946.0,2.0,86
"Food Hypersensitivity",19.0,1946.0,3.0,87
"Raynaud Disease",19.0,1946.0,4.0,88
"Tuberculosis, Laryngeal",19.0,1946.0,7.0,89
"Osteochondritis",19.0,1946.0,3.0,90
"Osteoarthritis",17.0,1946.0,5.0,91
"Granuloma Annulare",17.0,1946.0,5.0,92
"Meniere Disease",17.0,1946.0,4.0,93
"Perinephritis",17.0,1946.0,7.0,94
"Gout",16.0,1946.0,1.0,95
"Urethritis",16.0,1946.0,1.0,96
"Dermatitis, Seborrheic",16.0,1946.0,4.0,97
"Tonsillitis",15.0,1946.0,1.0,98
"Iridocyclitis",15.0,1946.0,4.0,99
"Bronchitis",15.0,1946.0,5.0,100
"Gastroenteritis",15.0,1946.0,2.0,101
"Meningoencephalitis",15.0,1946.0,6.0,102
"Purpura, Thrombocytopenic",15.0,1946.0,1.0,103
"Vaginitis",14.0,1946.0,3.0,104
"Dermatitis, Occupational",14.0,1946.0,2.0,105
"Diverticulitis",14.0,1946.0,2.0,106
"Noma",13.0,1946.0,6.0,107
"Dermatitis, Atopic",13.0,1946.0,3.0,108
"Epididymitis",13.0,1946.0,4.0,109
"Retinitis Pigmentosa",13.0,1946.0,2.0,110
"Stomatitis, Aphthous",13.0,1946.0,2.0,111
"Acrodermatitis",13.0,1946.0,2.0,112
"Waterhouse-Friderichsen Syndrome",12.0,1946.0,2.0,113
"Pyelonephritis",12.0,1946.0,2.0,114
"Ophthalmia, Sympathetic",12.0,1946.0,1.0,115
"Rhinitis, Allergic",12.0,1946.0,1.0,116
