name,value,year,lastValue,rank
"Psoriasis",1.0,1942.0,0,1
"Mastitis",2.0,1943.0,0,1
"Pneumoconiosis",3.0,1944.0,0,1
"Conjunctivitis",3.0,1944.0,0,2
"Hepatitis",2.0,1944.0,0,3
"Keratoconjunctivitis",2.0,1944.0,0,4
"Retinal Vasculitis",1.0,1944.0,0,5
"Endophthalmitis",1.0,1944.0,0,6
"Retinitis",1.0,1944.0,0,7
"Encephalitis",1.0,1944.0,0,8
"Rheumatic Fever",1.0,1944.0,0,9
"Anaphylaxis",1.0,1944.0,0,10
"Neuritis",1.0,1944.0,0,11
"Retinitis Pigmentosa",1.0,1944.0,0,12
"Guillain-Barre Syndrome",1.0,1944.0,0,13
"Ulcer",1.0,1944.0,0,14
"Uveoparotid Fever",1.0,1944.0,0,15
"Keratitis",1.0,1944.0,0,16
"Meningitis",1.0,1944.0,0,17
"Ophthalmia, Sympathetic",1.0,1944.0,0,18
"Asthma",1.0,1944.0,0,19
"Hypersensitivity",115.0,1945.0,0,1
"Anaphylaxis",73.0,1945.0,1.0,2
"Rheumatic Fever",65.0,1945.0,1.0,3
"Ulcer",63.0,1945.0,1.0,4
"Meningitis",60.0,1945.0,1.0,5
"Osteomyelitis",54.0,1945.0,0,6
"Sepsis",50.0,1945.0,0,7
"Nephritis",45.0,1945.0,0,8
"Encephalitis",41.0,1945.0,1.0,9
"Dermatitis",40.0,1945.0,0,10
"Arthritis",38.0,1945.0,0,11
"Sarcoidosis",32.0,1945.0,0,12
"Pneumoconiosis",31.0,1945.0,3.0,13
"Appendicitis",26.0,1945.0,0,14
"Endocarditis",26.0,1945.0,0,15
"Asthma",24.0,1945.0,1.0,16
"Psoriasis",23.0,1945.0,1.0,17
"Pericarditis",19.0,1945.0,0,18
"Stomatitis",19.0,1945.0,0,19
"Arthritis, Rheumatoid",19.0,1945.0,0,20
"Pemphigus",18.0,1945.0,0,21
"Hepatitis",18.0,1945.0,2.0,22
"Dermatitis, Contact",18.0,1945.0,0,23
"Anemia, Pernicious",18.0,1945.0,0,24
"Graves Disease",16.0,1945.0,0,25
"Osteitis",16.0,1945.0,0,26
"Lichen Planus",16.0,1945.0,0,27
"Otitis",13.0,1945.0,0,28
"Urticaria",13.0,1945.0,0,29
"Pharyngeal Diseases",13.0,1945.0,0,30
"Parotitis",13.0,1945.0,0,31
"Gingivitis, Necrotizing Ulcerative",12.0,1945.0,0,32
"Glomerulonephritis",11.0,1945.0,0,33
"Neuritis",11.0,1945.0,1.0,34
"Rhinitis",11.0,1945.0,0,35
"Colitis, Ulcerative",10.0,1945.0,0,36
"Keratitis",10.0,1945.0,1.0,37
"Peritonitis",10.0,1945.0,0,38
"Polyarteritis Nodosa",10.0,1945.0,0,39
"Pancreatitis",10.0,1945.0,0,40
"Erythema Nodosum",9.0,1945.0,0,41
"Scurvy",9.0,1945.0,0,42
"Mediastinitis",9.0,1945.0,0,43
"Colitis",9.0,1945.0,0,44
"Thrombophlebitis",9.0,1945.0,0,45
"Encephalomyelitis",9.0,1945.0,0,46
"Celiac Disease",9.0,1945.0,0,47
"Otosclerosis",9.0,1945.0,0,48
"Dermatitis Herpetiformis",9.0,1945.0,0,49
"Gastritis",9.0,1945.0,0,50
"Myocarditis",8.0,1945.0,0,51
"Sinusitis",8.0,1945.0,0,52
"Purpura, Schoenlein-Henoch",8.0,1945.0,0,53
"Endometriosis",8.0,1945.0,0,54
"Endophthalmitis",8.0,1945.0,1.0,55
"Scleroderma, Systemic",7.0,1945.0,0,56
"Tuberculosis, Laryngeal",7.0,1945.0,0,57
"Fibrous Dysplasia of Bone",7.0,1945.0,0,58
"Periodontitis",7.0,1945.0,0,59
"Phlebitis",7.0,1945.0,0,60
"Pharyngitis",7.0,1945.0,0,61
"Chorea",7.0,1945.0,0,62
"Perinephritis",7.0,1945.0,0,63
"Pyoderma",7.0,1945.0,0,64
"Meningoencephalitis",6.0,1945.0,0,65
"Mastoiditis",6.0,1945.0,0,66
"Guillain-Barre Syndrome",6.0,1945.0,1.0,67
"Noma",6.0,1945.0,0,68
"Parapsoriasis",6.0,1945.0,0,69
"Addison Disease",6.0,1945.0,0,70
"Disorders of Sex Development",6.0,1945.0,0,71
"Scleroderma, Localized",6.0,1945.0,0,72
"Cellulitis",6.0,1945.0,0,73
"Thromboangiitis Obliterans",6.0,1945.0,0,74
"Pulmonary Eosinophilia",5.0,1945.0,0,75
"Multiple Sclerosis",5.0,1945.0,0,76
"Empyema, Pleural",5.0,1945.0,0,77
"Conjunctivitis",5.0,1945.0,3.0,78
"Rhinitis, Allergic, Seasonal",5.0,1945.0,0,79
"Osteoarthritis",5.0,1945.0,0,80
"Arthritis, Reactive",5.0,1945.0,0,81
"Retinitis",5.0,1945.0,1.0,82
"Granuloma Annulare",5.0,1945.0,0,83
"Bronchitis",5.0,1945.0,0,84
"Dermatomyositis",5.0,1945.0,0,85
"Pityriasis Lichenoides",5.0,1945.0,0,86
"Raynaud Disease",4.0,1945.0,0,87
"Rhinitis, Atrophic",4.0,1945.0,0,88
"Dermatitis, Seborrheic",4.0,1945.0,0,89
"Iridocyclitis",4.0,1945.0,0,90
"Optic Neuritis",4.0,1945.0,0,91
"Rhinitis, Vasomotor",4.0,1945.0,0,92
"Meniere Disease",4.0,1945.0,0,93
"Laryngitis",4.0,1945.0,0,94
"Epididymitis",4.0,1945.0,0,95
"Folliculitis",4.0,1945.0,0,96
"Keratoconjunctivitis",4.0,1945.0,2.0,97
"Mikulicz' Disease",3.0,1945.0,0,98
"Myasthenia Gravis",3.0,1945.0,0,99
"Osteochondritis",3.0,1945.0,0,100
"Cystitis",3.0,1945.0,0,101
"Liver Cirrhosis, Biliary",3.0,1945.0,0,102
"Mesenteric Lymphadenitis",3.0,1945.0,0,103
"Neurodermatitis",3.0,1945.0,0,104
"Dermatitis, Atopic",3.0,1945.0,0,105
"Food Hypersensitivity",3.0,1945.0,0,106
"Mastitis",3.0,1945.0,2.0,107
"Vaginitis",3.0,1945.0,0,108
"Myositis",3.0,1945.0,0,109
"Frontal Sinusitis",2.0,1945.0,0,110
"Gingivitis",2.0,1945.0,0,111
"Crohn Disease",2.0,1945.0,0,112
"Panuveitis",2.0,1945.0,0,113
"Pyoderma Gangrenosum",2.0,1945.0,0,114
"Hemoglobinuria, Paroxysmal",2.0,1945.0,0,115
"Acrodermatitis",2.0,1945.0,0,116
"Dermatitis, Occupational",2.0,1945.0,0,117
"Waterhouse-Friderichsen Syndrome",2.0,1945.0,0,118
"Periostitis",2.0,1945.0,0,119
"Dry Socket",2.0,1945.0,0,120
"Spondylitis, Ankylosing",2.0,1945.0,0,121
