name,value,year,lastValue,rank
"Psoriasis",1.0,1942.0,0,1
"Mastitis",2.0,1943.0,0,1
"Pneumoconiosis",3.0,1944.0,0,1
"Conjunctivitis",3.0,1944.0,0,2
"Hepatitis",2.0,1944.0,0,3
"Keratoconjunctivitis",2.0,1944.0,0,4
"Retinal Vasculitis",1.0,1944.0,0,5
"Encephalitis",1.0,1944.0,0,6
"Retinitis Pigmentosa",1.0,1944.0,0,7
"Anaphylaxis",1.0,1944.0,0,8
"Retinitis",1.0,1944.0,0,9
"Keratitis",1.0,1944.0,0,10
"Ulcer",1.0,1944.0,0,11
"Ophthalmia, Sympathetic",1.0,1944.0,0,12
"Guillain-Barre Syndrome",1.0,1944.0,0,13
"Asthma",1.0,1944.0,0,14
"Neuritis",1.0,1944.0,0,15
"Endophthalmitis",1.0,1944.0,0,16
"Meningitis",1.0,1944.0,0,17
"Uveoparotid Fever",1.0,1944.0,0,18
"Rheumatic Fever",1.0,1944.0,0,19
"Anaphylaxis",73.0,1945.0,1.0,1
"Rheumatic Fever",65.0,1945.0,1.0,2
"Ulcer",63.0,1945.0,1.0,3
"Meningitis",60.0,1945.0,1.0,4
"Osteomyelitis",54.0,1945.0,0,5
"Sepsis",50.0,1945.0,0,6
"Nephritis",45.0,1945.0,0,7
"Encephalitis",41.0,1945.0,1.0,8
"Dermatitis",40.0,1945.0,0,9
"Arthritis",38.0,1945.0,0,10
"Sarcoidosis",32.0,1945.0,0,11
"Pneumoconiosis",31.0,1945.0,3.0,12
"Appendicitis",26.0,1945.0,0,13
"Endocarditis",26.0,1945.0,0,14
"Asthma",24.0,1945.0,1.0,15
"Psoriasis",23.0,1945.0,1.0,16
"Pericarditis",19.0,1945.0,0,17
"Stomatitis",19.0,1945.0,0,18
"Arthritis, Rheumatoid",19.0,1945.0,0,19
"Anemia, Pernicious",18.0,1945.0,0,20
"Pemphigus",18.0,1945.0,0,21
"Hepatitis",18.0,1945.0,2.0,22
"Dermatitis, Contact",18.0,1945.0,0,23
"Osteitis",16.0,1945.0,0,24
"Lichen Planus",16.0,1945.0,0,25
"Graves Disease",16.0,1945.0,0,26
"Urticaria",13.0,1945.0,0,27
"Parotitis",13.0,1945.0,0,28
"Pharyngeal Diseases",13.0,1945.0,0,29
"Otitis",13.0,1945.0,0,30
"Gingivitis, Necrotizing Ulcerative",12.0,1945.0,0,31
"Glomerulonephritis",11.0,1945.0,0,32
"Neuritis",11.0,1945.0,1.0,33
"Rhinitis",11.0,1945.0,0,34
"Peritonitis",10.0,1945.0,0,35
"Polyarteritis Nodosa",10.0,1945.0,0,36
"Colitis, Ulcerative",10.0,1945.0,0,37
"Keratitis",10.0,1945.0,1.0,38
"Pancreatitis",10.0,1945.0,0,39
"Otosclerosis",9.0,1945.0,0,40
"Gastritis",9.0,1945.0,0,41
"Celiac Disease",9.0,1945.0,0,42
"Erythema Nodosum",9.0,1945.0,0,43
"Dermatitis Herpetiformis",9.0,1945.0,0,44
"Scurvy",9.0,1945.0,0,45
"Encephalomyelitis",9.0,1945.0,0,46
"Mediastinitis",9.0,1945.0,0,47
"Colitis",9.0,1945.0,0,48
"Thrombophlebitis",9.0,1945.0,0,49
"Myocarditis",8.0,1945.0,0,50
"Purpura, Schoenlein-Henoch",8.0,1945.0,0,51
"Sinusitis",8.0,1945.0,0,52
"Endometriosis",8.0,1945.0,0,53
"Endophthalmitis",8.0,1945.0,1.0,54
"Tuberculosis, Laryngeal",7.0,1945.0,0,55
"Fibrous Dysplasia of Bone",7.0,1945.0,0,56
"Chorea",7.0,1945.0,0,57
"Periodontitis",7.0,1945.0,0,58
"Pharyngitis",7.0,1945.0,0,59
"Scleroderma, Systemic",7.0,1945.0,0,60
"Perinephritis",7.0,1945.0,0,61
"Phlebitis",7.0,1945.0,0,62
"Pyoderma",7.0,1945.0,0,63
"Thromboangiitis Obliterans",6.0,1945.0,0,64
"Mastoiditis",6.0,1945.0,0,65
"Disorders of Sex Development",6.0,1945.0,0,66
"Parapsoriasis",6.0,1945.0,0,67
"Cellulitis",6.0,1945.0,0,68
"Addison Disease",6.0,1945.0,0,69
"Guillain-Barre Syndrome",6.0,1945.0,1.0,70
"Scleroderma, Localized",6.0,1945.0,0,71
"Meningoencephalitis",6.0,1945.0,0,72
"Noma",6.0,1945.0,0,73
"Dermatomyositis",5.0,1945.0,0,74
"Bronchitis",5.0,1945.0,0,75
"Retinitis",5.0,1945.0,1.0,76
"Arthritis, Reactive",5.0,1945.0,0,77
"Osteoarthritis",5.0,1945.0,0,78
"Pulmonary Eosinophilia",5.0,1945.0,0,79
"Multiple Sclerosis",5.0,1945.0,0,80
"Conjunctivitis",5.0,1945.0,3.0,81
"Granuloma Annulare",5.0,1945.0,0,82
"Empyema, Pleural",5.0,1945.0,0,83
"Pityriasis Lichenoides",5.0,1945.0,0,84
"Rhinitis, Allergic, Seasonal",5.0,1945.0,0,85
"Rhinitis, Vasomotor",4.0,1945.0,0,86
"Iridocyclitis",4.0,1945.0,0,87
"Meniere Disease",4.0,1945.0,0,88
"Optic Neuritis",4.0,1945.0,0,89
"Keratoconjunctivitis",4.0,1945.0,2.0,90
"Raynaud Disease",4.0,1945.0,0,91
"Epididymitis",4.0,1945.0,0,92
"Folliculitis",4.0,1945.0,0,93
"Rhinitis, Atrophic",4.0,1945.0,0,94
"Laryngitis",4.0,1945.0,0,95
"Dermatitis, Seborrheic",4.0,1945.0,0,96
"Food Hypersensitivity",3.0,1945.0,0,97
"Liver Cirrhosis, Biliary",3.0,1945.0,0,98
"Myasthenia Gravis",3.0,1945.0,0,99
"Vaginitis",3.0,1945.0,0,100
"Neurodermatitis",3.0,1945.0,0,101
"Mikulicz' Disease",3.0,1945.0,0,102
"Mastitis",3.0,1945.0,2.0,103
"Mesenteric Lymphadenitis",3.0,1945.0,0,104
"Osteochondritis",3.0,1945.0,0,105
"Cystitis",3.0,1945.0,0,106
"Dermatitis, Atopic",3.0,1945.0,0,107
"Myositis",3.0,1945.0,0,108
"Hemoglobinuria, Paroxysmal",2.0,1945.0,0,109
"Lichen Sclerosus et Atrophicus",2.0,1945.0,0,110
"Alopecia Areata",2.0,1945.0,0,111
"Panuveitis",2.0,1945.0,0,112
"Diverticulitis",2.0,1945.0,0,113
"Pyoderma Gangrenosum",2.0,1945.0,0,114
"Cholangitis",2.0,1945.0,0,115
"Brachial Plexus Neuritis",2.0,1945.0,0,116
"Pyelonephritis",2.0,1945.0,0,117
"Tenosynovitis",2.0,1945.0,0,118
"Cholecystitis",2.0,1945.0,0,119
"Fibromyalgia",2.0,1945.0,0,120
"Myelitis",2.0,1945.0,0,121
