name,value,year,lastValue,rank
"Psoriasis",1.0,1942.0,0.0,1
"Mastitis",2.0,1943.0,0.0,1
"Pneumoconiosis",3.0,1944.0,0.0,1
"Conjunctivitis",3.0,1944.0,0.0,2
"Hepatitis",2.0,1944.0,0.0,3
"Endophthalmitis",1.0,1944.0,0.0,4
"Asthma",1.0,1944.0,0.0,5
"Neuritis",1.0,1944.0,0.0,6
"Encephalitis",1.0,1944.0,0.0,7
"Meningitis",1.0,1944.0,0.0,8
"Anaphylaxis",1.0,1944.0,0.0,9
"Ulcer",1.0,1944.0,0.0,10
"Rheumatic Fever",1.0,1944.0,0.0,11
"Anaphylaxis",74.0,1945.0,1.0,1
"Rheumatic Fever",66.0,1945.0,1.0,2
"Ulcer",64.0,1945.0,1.0,3
"Dermatitis",61.0,1945.0,0.0,4
"Meningitis",61.0,1945.0,1.0,5
"Arthritis",57.0,1945.0,0.0,6
"Osteomyelitis",54.0,1945.0,0.0,7
"Sepsis",50.0,1945.0,0.0,8
"Nephritis",45.0,1945.0,0.0,9
"Encephalitis",42.0,1945.0,1.0,10
"Pneumoconiosis",34.0,1945.0,3.0,11
"Sarcoidosis",32.0,1945.0,0.0,12
"Endocarditis",26.0,1945.0,0.0,13
"Appendicitis",26.0,1945.0,0.0,14
"Asthma",25.0,1945.0,1.0,15
"Psoriasis",24.0,1945.0,1.0,16
"Stomatitis",21.0,1945.0,0.0,17
"Hepatitis",20.0,1945.0,2.0,18
"Colitis",19.0,1945.0,0.0,19
"Pericarditis",19.0,1945.0,0.0,20
"Pemphigus",18.0,1945.0,0.0,21
"Anemia Pernicious",18.0,1945.0,0.0,22
"Osteitis",16.0,1945.0,0.0,23
"Graves Disease",16.0,1945.0,0.0,24
"Rhinitis",16.0,1945.0,0.0,25
"Lichen Planus",16.0,1945.0,0.0,26
"Gingivitis",14.0,1945.0,0.0,27
"Urticaria",13.0,1945.0,0.0,28
"Otitis",13.0,1945.0,0.0,29
"Parotitis",13.0,1945.0,0.0,30
"Scleroderma",13.0,1945.0,0.0,31
"Neuritis",12.0,1945.0,1.0,32
"Glomerulonephritis",11.0,1945.0,0.0,33
"Polyarteritis Nodosa",10.0,1945.0,0.0,34
"Pancreatitis",10.0,1945.0,0.0,35
"Peritonitis",10.0,1945.0,0.0,36
"Encephalomyelitis",9.0,1945.0,0.0,37
"Thrombophlebitis",9.0,1945.0,0.0,38
"Endophthalmitis",9.0,1945.0,1.0,39
"Mediastinitis",9.0,1945.0,0.0,40
"Gastritis",9.0,1945.0,0.0,41
"Otosclerosis",9.0,1945.0,0.0,42
"Celiac Disease",9.0,1945.0,0.0,43
"Myocarditis",8.0,1945.0,0.0,44
"Conjunctivitis",8.0,1945.0,3.0,45
"Endometriosis",8.0,1945.0,0.0,46
"Sinusitis",8.0,1945.0,0.0,47
"Phlebitis",7.0,1945.0,0.0,48
"Pharyngitis",7.0,1945.0,0.0,49
"Periodontitis",7.0,1945.0,0.0,50
"Disorders of Sex Development",6.0,1945.0,0.0,51
"Thromboangiitis Obliterans",6.0,1945.0,0.0,52
"Mastoiditis",6.0,1945.0,0.0,53
"Cellulitis",6.0,1945.0,0.0,54
"Addison Disease",6.0,1945.0,0.0,55
"Bronchitis",5.0,1945.0,0.0,56
"Mastitis",5.0,1945.0,2.0,57
"Osteoarthritis",5.0,1945.0,0.0,58
"Multiple Sclerosis",5.0,1945.0,0.0,59
"Food Hypersensitivity",3.0,1945.0,0.0,60
"Myasthenia Gravis",3.0,1945.0,0.0,61
"Spondylitis",2.0,1945.0,0.0,62
"Neutropenia",2.0,1945.0,0.0,63
"Pyelonephritis",2.0,1945.0,0.0,64
"Cholecystitis",2.0,1945.0,0.0,65
"Crohn Disease",2.0,1945.0,0.0,66
"Gastroenteritis",2.0,1945.0,0.0,67
"Tonsillitis",1.0,1945.0,0.0,68
"Panniculitis",1.0,1945.0,0.0,69
"Pulmonary Fibrosis",1.0,1945.0,0.0,70
"Sjogren's Syndrome",1.0,1945.0,0.0,71
"Ludwig's Angina",1.0,1945.0,0.0,72
"Vasculitis",1.0,1945.0,0.0,73
"Thrombocytopenic Purpura",1.0,1945.0,0.0,74
"Gout",1.0,1945.0,0.0,75
"Arthritis",339.0,1946.0,57.0,1
"Anaphylaxis",317.0,1946.0,74.0,2
"Meningitis",251.0,1946.0,61.0,3
"Rheumatic Fever",249.0,1946.0,66.0,4
"Dermatitis",243.0,1946.0,61.0,5
"Ulcer",207.0,1946.0,64.0,6
"Osteomyelitis",180.0,1946.0,54.0,7
"Endocarditis",174.0,1946.0,26.0,8
"Sepsis",164.0,1946.0,50.0,9
"Asthma",129.0,1946.0,25.0,10
"Appendicitis",119.0,1946.0,26.0,11
"Nephritis",115.0,1946.0,45.0,12
"Encephalitis",108.0,1946.0,42.0,13
"Pneumoconiosis",106.0,1946.0,34.0,14
"Scleroderma",104.0,1946.0,13.0,15
"Sarcoidosis",102.0,1946.0,32.0,16
"Rhinitis",90.0,1946.0,16.0,17
"Hepatitis",80.0,1946.0,20.0,18
"Colitis",76.0,1946.0,19.0,19
"Neuritis",72.0,1946.0,12.0,20
"Pemphigus",72.0,1946.0,18.0,21
"Anemia Pernicious",71.0,1946.0,18.0,22
"Lichen Planus",70.0,1946.0,16.0,23
"Psoriasis",63.0,1946.0,24.0,24
"Peritonitis",63.0,1946.0,10.0,25
"Urticaria",61.0,1946.0,13.0,26
"Osteitis",61.0,1946.0,16.0,27
"Pericarditis",60.0,1946.0,19.0,28
"Parotitis",60.0,1946.0,13.0,29
"Stomatitis",60.0,1946.0,21.0,30
"Gingivitis",59.0,1946.0,14.0,31
"Graves Disease",59.0,1946.0,16.0,32
"Endometriosis",54.0,1946.0,8.0,33
"Encephalomyelitis",51.0,1946.0,9.0,34
"Celiac Disease",50.0,1946.0,9.0,35
"Otosclerosis",49.0,1946.0,9.0,36
"Endophthalmitis",48.0,1946.0,9.0,37
"Polyarteritis Nodosa",48.0,1946.0,10.0,38
"Thrombophlebitis",46.0,1946.0,9.0,39
"Conjunctivitis",44.0,1946.0,8.0,40
"Pancreatitis",40.0,1946.0,10.0,41
"Glomerulonephritis",38.0,1946.0,11.0,42
"Myocarditis",36.0,1946.0,8.0,43
"Gastritis",30.0,1946.0,9.0,44
"Thromboangiitis Obliterans",30.0,1946.0,6.0,45
"Multiple Sclerosis",30.0,1946.0,5.0,46
"Disorders of Sex Development",30.0,1946.0,6.0,47
"Myasthenia Gravis",30.0,1946.0,3.0,48
"Phlebitis",30.0,1946.0,7.0,49
"Sinusitis",29.0,1946.0,8.0,50
"Mastitis",29.0,1946.0,5.0,51
"Mastoiditis",28.0,1946.0,6.0,52
"Periodontitis",28.0,1946.0,7.0,53
"Pharyngitis",27.0,1946.0,7.0,54
"Otitis",27.0,1946.0,13.0,55
"Cellulitis",27.0,1946.0,6.0,56
"Addison Disease",22.0,1946.0,6.0,57
"Mediastinitis",22.0,1946.0,9.0,58
"Cholecystitis",21.0,1946.0,2.0,59
"Food Hypersensitivity",19.0,1946.0,3.0,60
"Crohn Disease",19.0,1946.0,2.0,61
"Osteoarthritis",17.0,1946.0,5.0,62
"Gout",16.0,1946.0,1.0,63
"Bronchitis",15.0,1946.0,5.0,64
"Thrombocytopenic Purpura",15.0,1946.0,1.0,65
"Tonsillitis",15.0,1946.0,1.0,66
"Gastroenteritis",15.0,1946.0,2.0,67
"Spondylitis",14.0,1946.0,2.0,68
"Pyelonephritis",12.0,1946.0,2.0,69
"Uveitis",11.0,1946.0,0.0,70
"Panniculitis",8.0,1946.0,1.0,71
"Neutropenia",7.0,1946.0,2.0,72
"Pulmonary Fibrosis",5.0,1946.0,1.0,73
"Ludwig's Angina",4.0,1946.0,1.0,74
"Sjogren's Syndrome",4.0,1946.0,1.0,75
"Vasculitis",3.0,1946.0,1.0,76
"Labyrinthitis",3.0,1946.0,0.0,77
"Epiglottitis",1.0,1946.0,0.0,78
"Diabetes Mellitus Type 1",1.0,1946.0,0.0,79
"Arthritis",653.0,1947.0,339.0,1
"Anaphylaxis",567.0,1947.0,317.0,2
"Meningitis",480.0,1947.0,251.0,3
"Rheumatic Fever",429.0,1947.0,249.0,4
"Dermatitis",403.0,1947.0,243.0,5
"Ulcer",360.0,1947.0,207.0,6
"Osteomyelitis",306.0,1947.0,180.0,7
"Endocarditis",288.0,1947.0,174.0,8
"Asthma",273.0,1947.0,129.0,9
"Sepsis",255.0,1947.0,164.0,10
"Appendicitis",239.0,1947.0,119.0,11
"Encephalitis",209.0,1947.0,108.0,12
"Nephritis",199.0,1947.0,115.0,13
"Pneumoconiosis",174.0,1947.0,106.0,14
"Scleroderma",174.0,1947.0,104.0,15
"Sarcoidosis",168.0,1947.0,102.0,16
"Rhinitis",167.0,1947.0,90.0,17
"Hepatitis",160.0,1947.0,80.0,18
"Colitis",156.0,1947.0,76.0,19
"Anemia Pernicious",152.0,1947.0,71.0,20
"Neuritis",144.0,1947.0,72.0,21
"Peritonitis",136.0,1947.0,63.0,22
"Pemphigus",118.0,1947.0,72.0,23
"Graves Disease",108.0,1947.0,59.0,24
"Stomatitis",107.0,1947.0,60.0,25
"Lichen Planus",105.0,1947.0,70.0,26
"Otosclerosis",104.0,1947.0,49.0,27
"Psoriasis",104.0,1947.0,63.0,28
"Celiac Disease",103.0,1947.0,50.0,29
"Gingivitis",103.0,1947.0,59.0,30
"Urticaria",101.0,1947.0,61.0,31
"Osteitis",98.0,1947.0,61.0,32
"Pericarditis",98.0,1947.0,60.0,33
"Endometriosis",95.0,1947.0,54.0,34
"Parotitis",91.0,1947.0,60.0,35
"Myocarditis",87.0,1947.0,36.0,36
"Thrombophlebitis",86.0,1947.0,46.0,37
"Pancreatitis",86.0,1947.0,40.0,38
"Encephalomyelitis",85.0,1947.0,51.0,39
"Polyarteritis Nodosa",83.0,1947.0,48.0,40
"Glomerulonephritis",76.0,1947.0,38.0,41
"Endophthalmitis",73.0,1947.0,48.0,42
"Mastoiditis",69.0,1947.0,28.0,43
"Mastitis",65.0,1947.0,29.0,44
"Conjunctivitis",65.0,1947.0,44.0,45
"Multiple Sclerosis",64.0,1947.0,30.0,46
"Sinusitis",61.0,1947.0,29.0,47
"Myasthenia Gravis",60.0,1947.0,30.0,48
"Thromboangiitis Obliterans",58.0,1947.0,30.0,49
"Phlebitis",55.0,1947.0,30.0,50
"Addison Disease",53.0,1947.0,22.0,51
"Gastritis",51.0,1947.0,30.0,52
"Disorders of Sex Development",49.0,1947.0,30.0,53
"Pharyngitis",48.0,1947.0,27.0,54
"Gastroenteritis",47.0,1947.0,15.0,55
"Crohn Disease",41.0,1947.0,19.0,56
"Cellulitis",41.0,1947.0,27.0,57
"Cholecystitis",40.0,1947.0,21.0,58
"Otitis",40.0,1947.0,27.0,59
"Bronchitis",37.0,1947.0,15.0,60
"Periodontitis",37.0,1947.0,28.0,61
"Spondylitis",37.0,1947.0,14.0,62
"Food Hypersensitivity",35.0,1947.0,19.0,63
"Mediastinitis",35.0,1947.0,22.0,64
"Osteoarthritis",34.0,1947.0,17.0,65
"Pyelonephritis",33.0,1947.0,12.0,66
"Thrombocytopenic Purpura",32.0,1947.0,15.0,67
"Gout",30.0,1947.0,16.0,68
"Uveitis",25.0,1947.0,11.0,69
"Tonsillitis",20.0,1947.0,15.0,70
"Pulmonary Fibrosis",12.0,1947.0,5.0,71
"Ludwig's Angina",12.0,1947.0,4.0,72
"Neutropenia",12.0,1947.0,7.0,73
"Panniculitis",12.0,1947.0,8.0,74
"Sjogren's Syndrome",7.0,1947.0,4.0,75
"Vasculitis",5.0,1947.0,3.0,76
"Labyrinthitis",4.0,1947.0,3.0,77
"Diabetes Mellitus Type 1",4.0,1947.0,1.0,78
"Epiglottitis",2.0,1947.0,1.0,79
"Arthritis",970.0,1948.0,653.0,1
"Anaphylaxis",925.0,1948.0,567.0,2
"Meningitis",738.0,1948.0,480.0,3
"Dermatitis",610.0,1948.0,403.0,4
"Rheumatic Fever",587.0,1948.0,429.0,5
"Ulcer",556.0,1948.0,360.0,6
"Asthma",443.0,1948.0,273.0,7
"Osteomyelitis",419.0,1948.0,306.0,8
"Endocarditis",393.0,1948.0,288.0,9
"Appendicitis",351.0,1948.0,239.0,10
"Sepsis",341.0,1948.0,255.0,11
"Encephalitis",309.0,1948.0,209.0,12
"Nephritis",294.0,1948.0,199.0,13
"Hepatitis",293.0,1948.0,160.0,14
"Colitis",275.0,1948.0,156.0,15
"Sarcoidosis",274.0,1948.0,168.0,16
"Anemia Pernicious",254.0,1948.0,152.0,17
"Scleroderma",254.0,1948.0,174.0,18
"Pneumoconiosis",242.0,1948.0,174.0,19
"Rhinitis",224.0,1948.0,167.0,20
"Neuritis",217.0,1948.0,144.0,21
"Peritonitis",207.0,1948.0,136.0,22
"Pemphigus",183.0,1948.0,118.0,23
"Graves Disease",158.0,1948.0,108.0,24
"Celiac Disease",153.0,1948.0,103.0,25
"Endometriosis",151.0,1948.0,95.0,26
"Psoriasis",150.0,1948.0,104.0,27
"Otosclerosis",149.0,1948.0,104.0,28
"Stomatitis",147.0,1948.0,107.0,29
"Osteitis",146.0,1948.0,98.0,30
"Pericarditis",145.0,1948.0,98.0,31
"Urticaria",144.0,1948.0,101.0,32
"Pancreatitis",142.0,1948.0,86.0,33
"Gingivitis",133.0,1948.0,103.0,34
"Parotitis",131.0,1948.0,91.0,35
"Lichen Planus",131.0,1948.0,105.0,36
"Glomerulonephritis",130.0,1948.0,76.0,37
"Polyarteritis Nodosa",128.0,1948.0,83.0,38
"Myocarditis",128.0,1948.0,87.0,39
"Thrombophlebitis",124.0,1948.0,86.0,40
"Encephalomyelitis",123.0,1948.0,85.0,41
"Multiple Sclerosis",113.0,1948.0,64.0,42
"Addison Disease",106.0,1948.0,53.0,43
"Endophthalmitis",101.0,1948.0,73.0,44
"Phlebitis",101.0,1948.0,55.0,45
"Mastoiditis",98.0,1948.0,69.0,46
"Myasthenia Gravis",93.0,1948.0,60.0,47
"Sinusitis",92.0,1948.0,61.0,48
"Gastroenteritis",87.0,1948.0,47.0,49
"Mastitis",85.0,1948.0,65.0,50
"Conjunctivitis",82.0,1948.0,65.0,51
"Gastritis",79.0,1948.0,51.0,52
"Thromboangiitis Obliterans",78.0,1948.0,58.0,53
"Cholecystitis",77.0,1948.0,40.0,54
"Spondylitis",76.0,1948.0,37.0,55
"Otitis",76.0,1948.0,40.0,56
"Disorders of Sex Development",74.0,1948.0,49.0,57
"Periodontitis",73.0,1948.0,37.0,58
"Bronchitis",71.0,1948.0,37.0,59
"Crohn Disease",69.0,1948.0,41.0,60
"Cellulitis",68.0,1948.0,41.0,61
"Thrombocytopenic Purpura",66.0,1948.0,32.0,62
"Osteoarthritis",65.0,1948.0,34.0,63
"Pharyngitis",59.0,1948.0,48.0,64
"Food Hypersensitivity",55.0,1948.0,35.0,65
"Gout",50.0,1948.0,30.0,66
"Mediastinitis",50.0,1948.0,35.0,67
"Pyelonephritis",46.0,1948.0,33.0,68
"Uveitis",40.0,1948.0,25.0,69
"Tonsillitis",34.0,1948.0,20.0,70
"Pulmonary Fibrosis",20.0,1948.0,12.0,71
"Sjogren's Syndrome",20.0,1948.0,7.0,72
"Neutropenia",19.0,1948.0,12.0,73
"Panniculitis",17.0,1948.0,12.0,74
"Ludwig's Angina",15.0,1948.0,12.0,75
"Diabetes Mellitus Type 1",8.0,1948.0,4.0,76
"Vasculitis",7.0,1948.0,5.0,77
"Labyrinthitis",5.0,1948.0,4.0,78
"Epiglottitis",3.0,1948.0,2.0,79
"Inflammatory Bowel Diseases",1.0,1948.0,0.0,80
"Arthritis",1355.0,1949.0,970.0,1
"Anaphylaxis",1270.0,1949.0,925.0,2
"Meningitis",935.0,1949.0,738.0,3
"Dermatitis",790.0,1949.0,610.0,4
"Rheumatic Fever",748.0,1949.0,587.0,5
"Ulcer",718.0,1949.0,556.0,6
"Asthma",626.0,1949.0,443.0,7
"Endocarditis",515.0,1949.0,393.0,8
"Osteomyelitis",502.0,1949.0,419.0,9
"Appendicitis",460.0,1949.0,351.0,10
"Encephalitis",435.0,1949.0,309.0,11
"Hepatitis",419.0,1949.0,293.0,12
"Sepsis",404.0,1949.0,341.0,13
"Nephritis",386.0,1949.0,294.0,14
"Colitis",383.0,1949.0,275.0,15
"Anemia Pernicious",376.0,1949.0,254.0,16
