name,value,year,lastValue,rank
"Psoriasis",1.0,1942.0,0,1
"Mastitis",2.0,1943.0,0,1
"Pneumoconiosis",3.0,1944.0,0,1
"Conjunctivitis",3.0,1944.0,0,2
"Hepatitis",2.0,1944.0,0,3
"Asthma",1.0,1944.0,0,4
"Neuritis",1.0,1944.0,0,5
"Meningitis",1.0,1944.0,0,6
"Ulcer",1.0,1944.0,0,7
"Rheumatic Fever",1.0,1944.0,0,8
"Anaphylaxis",1.0,1944.0,0,9
"Endophthalmitis",1.0,1944.0,0,10
"Encephalitis",1.0,1944.0,0,11
"Anaphylaxis",73.0,1945.0,1.0,1
"Rheumatic Fever",65.0,1945.0,1.0,2
"Ulcer",63.0,1945.0,1.0,3
"Dermatitis",61.0,1945.0,0,4
"Meningitis",60.0,1945.0,1.0,5
"Arthritis",57.0,1945.0,0,6
"Osteomyelitis",54.0,1945.0,0,7
"Sepsis",50.0,1945.0,0,8
"Nephritis",45.0,1945.0,0,9
"Encephalitis",41.0,1945.0,1.0,10
"Sarcoidosis",32.0,1945.0,0,11
"Pneumoconiosis",31.0,1945.0,3.0,12
"Appendicitis",26.0,1945.0,0,13
"Endocarditis",26.0,1945.0,0,14
"Asthma",24.0,1945.0,1.0,15
"Psoriasis",23.0,1945.0,1.0,16
"Stomatitis",21.0,1945.0,0,17
"Colitis",19.0,1945.0,0,18
"Pericarditis",19.0,1945.0,0,19
"Anemia Pernicious",18.0,1945.0,0,20
"Pemphigus",18.0,1945.0,0,21
"Hepatitis",18.0,1945.0,2.0,22
"Rhinitis",16.0,1945.0,0,23
"Graves Disease",16.0,1945.0,0,24
"Osteitis",16.0,1945.0,0,25
"Lichen Planus",16.0,1945.0,0,26
"Gingivitis",14.0,1945.0,0,27
"Otitis",13.0,1945.0,0,28
"Parotitis",13.0,1945.0,0,29
"Scleroderma",13.0,1945.0,0,30
"Urticaria",13.0,1945.0,0,31
"Neuritis",11.0,1945.0,1.0,32
"Glomerulonephritis",11.0,1945.0,0,33
"Pancreatitis",10.0,1945.0,0,34
"Peritonitis",10.0,1945.0,0,35
"Polyarteritis Nodosa",10.0,1945.0,0,36
"Encephalomyelitis",9.0,1945.0,0,37
"Celiac Disease",9.0,1945.0,0,38
"Mediastinitis",9.0,1945.0,0,39
"Gastritis",9.0,1945.0,0,40
"Otosclerosis",9.0,1945.0,0,41
"Thrombophlebitis",9.0,1945.0,0,42
"Sinusitis",8.0,1945.0,0,43
"Myocarditis",8.0,1945.0,0,44
"Endometriosis",8.0,1945.0,0,45
"Endophthalmitis",8.0,1945.0,1.0,46
"Phlebitis",7.0,1945.0,0,47
"Periodontitis",7.0,1945.0,0,48
"Pharyngitis",7.0,1945.0,0,49
"Addison Disease",6.0,1945.0,0,50
"Cellulitis",6.0,1945.0,0,51
"Thromboangiitis Obliterans",6.0,1945.0,0,52
"Disorders of Sex Development",6.0,1945.0,0,53
"Mastoiditis",6.0,1945.0,0,54
"Multiple Sclerosis",5.0,1945.0,0,55
"Bronchitis",5.0,1945.0,0,56
"Conjunctivitis",5.0,1945.0,3.0,57
"Osteoarthritis",5.0,1945.0,0,58
"Mastitis",3.0,1945.0,2.0,59
"Myasthenia Gravis",3.0,1945.0,0,60
"Food Hypersensitivity",3.0,1945.0,0,61
"Spondylitis",2.0,1945.0,0,62
"Cholecystitis",2.0,1945.0,0,63
"Crohn Disease",2.0,1945.0,0,64
"Gastroenteritis",2.0,1945.0,0,65
"Neutropenia",2.0,1945.0,0,66
"Pyelonephritis",2.0,1945.0,0,67
"Sjogren's Syndrome",1.0,1945.0,0,68
"Thrombocytopenic Purpura",1.0,1945.0,0,69
"Tonsillitis",1.0,1945.0,0,70
"Vasculitis",1.0,1945.0,0,71
"Ludwig's Angina",1.0,1945.0,0,72
"Pulmonary Fibrosis",1.0,1945.0,0,73
"Panniculitis",1.0,1945.0,0,74
"Gout",1.0,1945.0,0,75
"Arthritis",282.0,1946.0,57.0,1
"Anaphylaxis",243.0,1946.0,73.0,2
"Meningitis",190.0,1946.0,60.0,3
"Rheumatic Fever",183.0,1946.0,65.0,4
"Dermatitis",182.0,1946.0,61.0,5
"Endocarditis",148.0,1946.0,26.0,6
"Ulcer",143.0,1946.0,63.0,7
"Osteomyelitis",126.0,1946.0,54.0,8
"Sepsis",114.0,1946.0,50.0,9
"Asthma",104.0,1946.0,24.0,10
"Appendicitis",93.0,1946.0,26.0,11
"Scleroderma",91.0,1946.0,13.0,12
"Rhinitis",74.0,1946.0,16.0,13
"Pneumoconiosis",72.0,1946.0,31.0,14
"Sarcoidosis",70.0,1946.0,32.0,15
"Nephritis",70.0,1946.0,45.0,16
"Encephalitis",66.0,1946.0,41.0,17
"Hepatitis",60.0,1946.0,18.0,18
"Neuritis",60.0,1946.0,11.0,19
"Colitis",57.0,1946.0,19.0,20
"Pemphigus",54.0,1946.0,18.0,21
"Lichen Planus",54.0,1946.0,16.0,22
"Peritonitis",53.0,1946.0,10.0,23
"Anemia Pernicious",53.0,1946.0,18.0,24
"Urticaria",48.0,1946.0,13.0,25
"Parotitis",47.0,1946.0,13.0,26
"Endometriosis",46.0,1946.0,8.0,27
"Gingivitis",45.0,1946.0,14.0,28
"Osteitis",45.0,1946.0,16.0,29
"Graves Disease",43.0,1946.0,16.0,30
"Encephalomyelitis",42.0,1946.0,9.0,31
"Celiac Disease",41.0,1946.0,9.0,32
"Pericarditis",41.0,1946.0,19.0,33
"Otosclerosis",40.0,1946.0,9.0,34
"Endophthalmitis",39.0,1946.0,8.0,35
"Psoriasis",39.0,1946.0,23.0,36
"Stomatitis",39.0,1946.0,21.0,37
"Polyarteritis Nodosa",38.0,1946.0,10.0,38
"Thrombophlebitis",37.0,1946.0,9.0,39
"Conjunctivitis",36.0,1946.0,5.0,40
"Pancreatitis",30.0,1946.0,10.0,41
"Myocarditis",28.0,1946.0,8.0,42
"Glomerulonephritis",27.0,1946.0,11.0,43
"Myasthenia Gravis",27.0,1946.0,3.0,44
"Multiple Sclerosis",25.0,1946.0,5.0,45
"Mastitis",24.0,1946.0,3.0,46
"Thromboangiitis Obliterans",24.0,1946.0,6.0,47
"Disorders of Sex Development",24.0,1946.0,6.0,48
"Phlebitis",23.0,1946.0,7.0,49
"Mastoiditis",22.0,1946.0,6.0,50
"Gastritis",21.0,1946.0,9.0,51
"Periodontitis",21.0,1946.0,7.0,52
"Cellulitis",21.0,1946.0,6.0,53
"Sinusitis",21.0,1946.0,8.0,54
"Pharyngitis",20.0,1946.0,7.0,55
"Cholecystitis",19.0,1946.0,2.0,56
"Crohn Disease",17.0,1946.0,2.0,57
"Addison Disease",16.0,1946.0,6.0,58
