name,value,year,lastValue,rank
"Depression",1.0,1938.0,0.0,1
"Depression",2.0,1944.0,1.0,1
"Psychotic Disorders",2.0,1944.0,0.0,2
"Depressive Disorder",1.0,1944.0,0.0,3
"Dementia",1.0,1944.0,0.0,4
"Psychotic Disorders",69.0,1945.0,2.0,1
"Alcoholism",24.0,1945.0,0.0,2
"Schizophrenia",20.0,1945.0,0.0,3
"Pellagra",17.0,1945.0,0.0,4
"Personality Disorders",13.0,1945.0,0.0,5
"Conversion Disorder",9.0,1945.0,0.0,6
"Neurocirculatory Asthenia",9.0,1945.0,0.0,7
"Anxiety Disorders",9.0,1945.0,0.0,8
"Depressive Disorder",9.0,1945.0,1.0,9
"Depression",8.0,1945.0,2.0,10
"Tic Disorders",8.0,1945.0,0.0,11
"Combat Disorders",6.0,1945.0,0.0,12
"Bipolar Disorder",5.0,1945.0,0.0,13
"Dementia",3.0,1945.0,1.0,14
"Aphasia",3.0,1945.0,0.0,15
"Delirium",3.0,1945.0,0.0,16
"Conduct Disorder",3.0,1945.0,0.0,17
"Morphine Dependence",3.0,1945.0,0.0,18
"Alzheimer Disease",2.0,1945.0,0.0,19
"Stuttering",2.0,1945.0,0.0,20
"Psychoses, Substance-Induced",2.0,1945.0,0.0,21
"Mutism",2.0,1945.0,0.0,22
"Stress Disorders, Post-Traumatic",2.0,1945.0,0.0,23
"Amnesia",2.0,1945.0,0.0,24
"Sexual Dysfunctions, Psychological",2.0,1945.0,0.0,25
"Tay-Sachs Disease",1.0,1945.0,0.0,26
"Phobic Disorders",1.0,1945.0,0.0,27
"Anorexia Nervosa",1.0,1945.0,0.0,28
"Agnosia",1.0,1945.0,0.0,29
"Psychotic Disorders",286.0,1946.0,69.0,1
"Alcoholism",113.0,1946.0,24.0,2
"Schizophrenia",82.0,1946.0,20.0,3
"Personality Disorders",68.0,1946.0,13.0,4
"Depression",46.0,1946.0,8.0,5
"Depressive Disorder",44.0,1946.0,9.0,6
"Pellagra",43.0,1946.0,17.0,7
"Anxiety Disorders",36.0,1946.0,9.0,8
"Aphasia",30.0,1946.0,3.0,9
"Bipolar Disorder",28.0,1946.0,5.0,10
"Conversion Disorder",27.0,1946.0,9.0,11
"Neurocirculatory Asthenia",26.0,1946.0,9.0,12
"Combat Disorders",22.0,1946.0,6.0,13
"Delirium",18.0,1946.0,3.0,14
"Dementia",16.0,1946.0,3.0,15
"Stuttering",15.0,1946.0,2.0,16
"Stress Disorders, Post-Traumatic",11.0,1946.0,2.0,17
"Amnesia",11.0,1946.0,2.0,18
"Conduct Disorder",10.0,1946.0,3.0,19
"Morphine Dependence",9.0,1946.0,3.0,20
"Alzheimer Disease",9.0,1946.0,2.0,21
"Phobic Disorders",8.0,1946.0,1.0,22
"Mutism",6.0,1946.0,2.0,23
"Sexual Dysfunctions, Psychological",5.0,1946.0,2.0,24
