name,value,year,lastValue,rank
"Depression",1.0,1938.0,0.0,1
"Depression",2.0,1944.0,1.0,1
"Dementia",1.0,1944.0,0.0,2
"Depressive Disorder",1.0,1944.0,0.0,3
"Alcoholism",24.0,1945.0,0.0,1
"Schizophrenia",20.0,1945.0,0.0,2
"Pellagra",17.0,1945.0,0.0,3
"Conversion Disorder",9.0,1945.0,0.0,4
"Depressive Disorder",9.0,1945.0,1.0,5
"Neurocirculatory Asthenia",9.0,1945.0,0.0,6
"Depression",8.0,1945.0,2.0,7
"Bipolar Disorder",5.0,1945.0,0.0,8
"Delirium",3.0,1945.0,0.0,9
"Morphine Dependence",3.0,1945.0,0.0,10
"Dementia",3.0,1945.0,1.0,11
"Conduct Disorder",3.0,1945.0,0.0,12
"Aphasia",3.0,1945.0,0.0,13
"Psychoses, Substance-Induced",2.0,1945.0,0.0,14
"Mutism",2.0,1945.0,0.0,15
"Stress Disorders, Post-Traumatic",2.0,1945.0,0.0,16
"Amnesia",2.0,1945.0,0.0,17
"Alzheimer Disease",2.0,1945.0,0.0,18
"Sexual Dysfunctions, Psychological",2.0,1945.0,0.0,19
"Stuttering",2.0,1945.0,0.0,20
"Agnosia",1.0,1945.0,0.0,21
"Anorexia Nervosa",1.0,1945.0,0.0,22
"Tay-Sachs Disease",1.0,1945.0,0.0,23
"Alcoholism",113.0,1946.0,24.0,1
"Schizophrenia",82.0,1946.0,20.0,2
"Depression",46.0,1946.0,8.0,3
"Depressive Disorder",44.0,1946.0,9.0,4
"Pellagra",43.0,1946.0,17.0,5
"Aphasia",30.0,1946.0,3.0,6
"Bipolar Disorder",28.0,1946.0,5.0,7
"Conversion Disorder",27.0,1946.0,9.0,8
"Neurocirculatory Asthenia",26.0,1946.0,9.0,9
"Delirium",18.0,1946.0,3.0,10
"Dementia",16.0,1946.0,3.0,11
"Stuttering",15.0,1946.0,2.0,12
"Stress Disorders, Post-Traumatic",11.0,1946.0,2.0,13
"Amnesia",11.0,1946.0,2.0,14
"Conduct Disorder",10.0,1946.0,3.0,15
"Alzheimer Disease",9.0,1946.0,2.0,16
"Morphine Dependence",9.0,1946.0,3.0,17
"Mutism",6.0,1946.0,2.0,18
"Sexual Dysfunctions, Psychological",5.0,1946.0,2.0,19
"Agnosia",5.0,1946.0,1.0,20
"Psychoses, Substance-Induced",5.0,1946.0,2.0,21
"Apraxias",4.0,1946.0,0.0,22
"Anorexia Nervosa",4.0,1946.0,1.0,23
"Tay-Sachs Disease",3.0,1946.0,1.0,24
"Dyslexia",3.0,1946.0,0.0,25
"Firesetting Behavior",3.0,1946.0,0.0,26
"Depersonalization",2.0,1946.0,0.0,27
"Masochism",2.0,1946.0,0.0,28
"Exhibitionism",2.0,1946.0,0.0,29
"Obsessive-Compulsive Disorder",2.0,1946.0,0.0,30
"Trichotillomania",2.0,1946.0,0.0,31
