name,value,year,lastValue,rank
"Depression",1.0,1938.0,0,1
"Psychotic Disorders",2.0,1944.0,0,1
"Dementia",1.0,1944.0,0,2
"Depression",1.0,1944.0,1.0,3
"Depressive Disorder",1.0,1944.0,0,4
"Psychotic Disorders",67.0,1945.0,2.0,1
"Alcoholism",24.0,1945.0,0,2
"Schizophrenia",20.0,1945.0,0,3
"Pellagra",17.0,1945.0,0,4
"Personality Disorders",13.0,1945.0,0,5
"Neurocirculatory Asthenia",9.0,1945.0,0,6
"Conversion Disorder",9.0,1945.0,0,7
"Anxiety Disorders",9.0,1945.0,0,8
"Depressive Disorder",8.0,1945.0,1.0,9
"Tic Disorders",8.0,1945.0,0,10
"Depression",6.0,1945.0,1.0,11
"Combat Disorders",6.0,1945.0,0,12
"Bipolar Disorder",5.0,1945.0,0,13
"Aphasia",3.0,1945.0,0,14
"Delirium",3.0,1945.0,0,15
"Conduct Disorder",3.0,1945.0,0,16
"Morphine Dependence",3.0,1945.0,0,17
"Stuttering",2.0,1945.0,0,18
"Alzheimer Disease",2.0,1945.0,0,19
"Mutism",2.0,1945.0,0,20
"Stress Disorders, Post-Traumatic",2.0,1945.0,0,21
"Sexual Dysfunctions, Psychological",2.0,1945.0,0,22
"Dementia",2.0,1945.0,1.0,23
"Amnesia",2.0,1945.0,0,24
"Psychoses, Substance-Induced",2.0,1945.0,0,25
"Anorexia Nervosa",1.0,1945.0,0,26
"Phobic Disorders",1.0,1945.0,0,27
"Tay-Sachs Disease",1.0,1945.0,0,28
"Agnosia",1.0,1945.0,0,29
"Psychotic Disorders",217.0,1946.0,67.0,1
"Alcoholism",89.0,1946.0,24.0,2
"Schizophrenia",62.0,1946.0,20.0,3
"Personality Disorders",55.0,1946.0,13.0,4
"Depression",38.0,1946.0,6.0,5
"Depressive Disorder",35.0,1946.0,8.0,6
"Aphasia",27.0,1946.0,3.0,7
"Anxiety Disorders",27.0,1946.0,9.0,8
"Pellagra",26.0,1946.0,17.0,9
"Bipolar Disorder",23.0,1946.0,5.0,10
"Conversion Disorder",18.0,1946.0,9.0,11
"Neurocirculatory Asthenia",17.0,1946.0,9.0,12
"Combat Disorders",16.0,1946.0,6.0,13
"Delirium",15.0,1946.0,3.0,14
"Stuttering",13.0,1946.0,2.0,15
"Dementia",13.0,1946.0,2.0,16
"Stress Disorders, Post-Traumatic",9.0,1946.0,2.0,17
"Amnesia",9.0,1946.0,2.0,18
"Phobic Disorders",7.0,1946.0,1.0,19
"Alzheimer Disease",7.0,1946.0,2.0,20
"Conduct Disorder",7.0,1946.0,3.0,21
"Morphine Dependence",6.0,1946.0,3.0,22
"Apraxias",4.0,1946.0,0,23
"Mutism",4.0,1946.0,2.0,24
"Agnosia",4.0,1946.0,1.0,25
"Psychoses, Substance-Induced",3.0,1946.0,2.0,26
"Anorexia Nervosa",3.0,1946.0,1.0,27
"Dyslexia",3.0,1946.0,0,28
"Sexual Dysfunctions, Psychological",3.0,1946.0,2.0,29
"Firesetting Behavior",3.0,1946.0,0,30
"Exhibitionism",2.0,1946.0,0,31
"Tay-Sachs Disease",2.0,1946.0,1.0,32
"Trichotillomania",2.0,1946.0,0,33
"Depersonalization",2.0,1946.0,0,34
"Obsessive-Compulsive Disorder",2.0,1946.0,0,35
"Masochism",2.0,1946.0,0,36
"Hypochondriasis",1.0,1946.0,0,37
"Disorders of Excessive Somnolence",1.0,1946.0,0,38
"Schizophrenia, Paranoid",1.0,1946.0,0,39
"Premature Ejaculation",1.0,1946.0,0,40
"Fetishism (Psychiatric)",1.0,1946.0,0,41
"Creutzfeldt-Jakob Syndrome",1.0,1946.0,0,42
"Kleine-Levin Syndrome",1.0,1946.0,0,43
"Autistic Disorder",1.0,1946.0,0,44
"Pica",1.0,1946.0,0,45
"Disruptive, Impulse Control, and Conduct Disorders",1.0,1946.0,0,46
"Gerstmann Syndrome",1.0,1946.0,0,47
"Dyscalculia",1.0,1946.0,0,48
"Dependent Personality Disorder",1.0,1946.0,0,49
"Stereotypic Movement Disorder",1.0,1946.0,0,50
"Anomia",1.0,1946.0,0,51
"Somatoform Disorders",1.0,1946.0,0,52
"Psychotic Disorders",205.0,1947.0,217.0,1
"Alcoholism",92.0,1947.0,89.0,2
"Personality Disorders",77.0,1947.0,55.0,3
"Schizophrenia",74.0,1947.0,62.0,4
"Depression",37.0,1947.0,38.0,5
"Depressive Disorder",34.0,1947.0,35.0,6
"Pellagra",31.0,1947.0,26.0,7
"Anxiety Disorders",28.0,1947.0,27.0,8
"Conversion Disorder",24.0,1947.0,18.0,9
"Aphasia",21.0,1947.0,27.0,10
"Bipolar Disorder",13.0,1947.0,23.0,11
"Combat Disorders",12.0,1947.0,16.0,12
"Stuttering",12.0,1947.0,13.0,13
"Neurocirculatory Asthenia",10.0,1947.0,17.0,14
"Conduct Disorder",7.0,1947.0,7.0,15
"Morphine Dependence",6.0,1947.0,6.0,16
"Sexual Dysfunctions, Psychological",6.0,1947.0,3.0,17
"Amnesia",5.0,1947.0,9.0,18
"Exhibitionism",5.0,1947.0,2.0,19
"Alzheimer Disease",5.0,1947.0,7.0,20
"Dementia",5.0,1947.0,13.0,21
"Stress Disorders, Post-Traumatic",5.0,1947.0,9.0,22
"Masochism",4.0,1947.0,2.0,23
"Depersonalization",4.0,1947.0,2.0,24
"Delirium",4.0,1947.0,15.0,25
"Phobic Disorders",4.0,1947.0,7.0,26
"Obsessive-Compulsive Disorder",3.0,1947.0,2.0,27
"Agnosia",3.0,1947.0,4.0,28
"Stereotypic Movement Disorder",3.0,1947.0,1.0,29
"Tay-Sachs Disease",3.0,1947.0,2.0,30
"Apraxias",3.0,1947.0,4.0,31
"Firesetting Behavior",2.0,1947.0,3.0,32
"Dyslexia",2.0,1947.0,3.0,33
"Gambling",2.0,1947.0,0,34
"Anorexia Nervosa",2.0,1947.0,3.0,35
"Gerstmann Syndrome",2.0,1947.0,1.0,36
"Autistic Disorder",2.0,1947.0,1.0,37
"Schizophrenia, Paranoid",2.0,1947.0,1.0,38
"Fetishism (Psychiatric)",2.0,1947.0,1.0,39
"Mutism",1.0,1947.0,4.0,40
"Transvestism",1.0,1947.0,0,41
"Psychoses, Substance-Induced",1.0,1947.0,3.0,42
"Histrionic Personality Disorder",1.0,1947.0,0,43
"Hypochondriasis",1.0,1947.0,1.0,44
"Dementia, Vascular",1.0,1947.0,0,45
"Amnesia, Retrograde",1.0,1947.0,0,46
"Trichotillomania",1.0,1947.0,2.0,47
"Schizotypal Personality Disorder",1.0,1947.0,0,48
"Psychoses, Alcoholic",1.0,1947.0,0,49
"Psychotic Disorders",180.0,1948.0,205.0,1
"Alcoholism",100.0,1948.0,92.0,2
"Schizophrenia",89.0,1948.0,74.0,3
"Personality Disorders",69.0,1948.0,77.0,4
"Anxiety Disorders",38.0,1948.0,28.0,5
"Depression",28.0,1948.0,37.0,6
"Pellagra",23.0,1948.0,31.0,7
"Conversion Disorder",23.0,1948.0,24.0,8
"Depressive Disorder",22.0,1948.0,34.0,9
"Stuttering",19.0,1948.0,12.0,10
"Aphasia",18.0,1948.0,21.0,11
"Dementia",9.0,1948.0,5.0,12
"Anorexia Nervosa",9.0,1948.0,2.0,13
"Neurocirculatory Asthenia",8.0,1948.0,10.0,14
"Delirium",8.0,1948.0,4.0,15
"Conduct Disorder",7.0,1948.0,7.0,16
"Phobic Disorders",7.0,1948.0,4.0,17
"Amnesia",6.0,1948.0,5.0,18
"Agnosia",6.0,1948.0,3.0,19
"Alzheimer Disease",6.0,1948.0,5.0,20
"Morphine Dependence",5.0,1948.0,6.0,21
"Somatoform Disorders",5.0,1948.0,1.0,22
"Dyslexia",5.0,1948.0,2.0,23
"Stress Disorders, Post-Traumatic",5.0,1948.0,5.0,24
"Exhibitionism",4.0,1948.0,5.0,25
"Bipolar Disorder",4.0,1948.0,13.0,26
"Psychoses, Substance-Induced",4.0,1948.0,1.0,27
"Hypochondriasis",4.0,1948.0,1.0,28
"Mutism",3.0,1948.0,1.0,29
"Opioid-Related Disorders",3.0,1948.0,0,30
"Schizophrenia, Paranoid",2.0,1948.0,2.0,31
"Agraphia",2.0,1948.0,0,32
"Tay-Sachs Disease",2.0,1948.0,3.0,33
"Combat Disorders",2.0,1948.0,12.0,34
"Dyscalculia",2.0,1948.0,1.0,35
"Apraxias",2.0,1948.0,3.0,36
"Masochism",2.0,1948.0,4.0,37
"Tic Disorders",2.0,1948.0,8.0,38
"Gerstmann Syndrome",2.0,1948.0,2.0,39
"Depersonalization",2.0,1948.0,4.0,40
"Disruptive, Impulse Control, and Conduct Disorders",1.0,1948.0,1.0,41
"Amnesia, Retrograde",1.0,1948.0,1.0,42
"Fetishism (Psychiatric)",1.0,1948.0,2.0,43
"Sexual Dysfunctions, Psychological",1.0,1948.0,6.0,44
"Pica",1.0,1948.0,1.0,45
"Marijuana Abuse",1.0,1948.0,0,46
"Anomia",1.0,1948.0,1.0,47
"Autistic Disorder",1.0,1948.0,2.0,48
"Cyclothymic Disorder",1.0,1948.0,0,49
"Apraxia, Ideomotor",1.0,1948.0,0,50
"Histrionic Personality Disorder",1.0,1948.0,1.0,51
"Obsessive-Compulsive Disorder",1.0,1948.0,3.0,52
"Trichotillomania",1.0,1948.0,1.0,53
"Gambling",1.0,1948.0,2.0,54
"Psychotic Disorders",219.0,1949.0,180.0,1
"Schizophrenia",114.0,1949.0,89.0,2
"Alcoholism",110.0,1949.0,100.0,3
"Personality Disorders",96.0,1949.0,69.0,4
"Anxiety Disorders",52.0,1949.0,38.0,5
"Depression",26.0,1949.0,28.0,6
"Aphasia",24.0,1949.0,18.0,7
"Depressive Disorder",22.0,1949.0,22.0,8
"Conversion Disorder",16.0,1949.0,23.0,9
"Pellagra",14.0,1949.0,23.0,10
"Stuttering",13.0,1949.0,19.0,11
"Bipolar Disorder",11.0,1949.0,4.0,12
"Delirium",9.0,1949.0,8.0,13
"Neurocirculatory Asthenia",8.0,1949.0,8.0,14
"Amnesia",7.0,1949.0,6.0,15
"Dyslexia",7.0,1949.0,5.0,16
"Dementia",7.0,1949.0,9.0,17
"Alzheimer Disease",7.0,1949.0,6.0,18
"Phobic Disorders",7.0,1949.0,7.0,19
"Anorexia Nervosa",6.0,1949.0,9.0,20
"Obsessive-Compulsive Disorder",6.0,1949.0,1.0,21
"Apraxias",4.0,1949.0,2.0,22
"Sexual Dysfunctions, Psychological",4.0,1949.0,1.0,23
"Somatoform Disorders",3.0,1949.0,5.0,24
"Morphine Dependence",3.0,1949.0,5.0,25
"Hypochondriasis",3.0,1949.0,4.0,26
