name,value,year,lastValue,rank
"Depression",1.0,1938.0,0,1
"Depression",1.0,1944.0,1.0,1
"Depressive Disorder",1.0,1944.0,0,2
"Dementia",1.0,1944.0,0,3
"Alcoholism",24.0,1945.0,0,1
"Schizophrenia",20.0,1945.0,0,2
"Pellagra",17.0,1945.0,0,3
"Conversion Disorder",9.0,1945.0,0,4
"Neurocirculatory Asthenia",9.0,1945.0,0,5
"Depressive Disorder",8.0,1945.0,1.0,6
"Depression",6.0,1945.0,1.0,7
"Bipolar Disorder",5.0,1945.0,0,8
"Aphasia",3.0,1945.0,0,9
"Morphine Dependence",3.0,1945.0,0,10
"Conduct Disorder",3.0,1945.0,0,11
"Delirium",3.0,1945.0,0,12
"Amnesia",2.0,1945.0,0,13
"Mutism",2.0,1945.0,0,14
"Psychoses, Substance-Induced",2.0,1945.0,0,15
"Alzheimer Disease",2.0,1945.0,0,16
"Stuttering",2.0,1945.0,0,17
"Dementia",2.0,1945.0,1.0,18
"Sexual Dysfunctions, Psychological",2.0,1945.0,0,19
"Stress Disorders, Post-Traumatic",2.0,1945.0,0,20
"Anorexia Nervosa",1.0,1945.0,0,21
"Agnosia",1.0,1945.0,0,22
"Tay-Sachs Disease",1.0,1945.0,0,23
"Alcoholism",89.0,1946.0,24.0,1
"Schizophrenia",62.0,1946.0,20.0,2
"Depression",38.0,1946.0,6.0,3
"Depressive Disorder",35.0,1946.0,8.0,4
"Aphasia",27.0,1946.0,3.0,5
"Pellagra",26.0,1946.0,17.0,6
"Bipolar Disorder",23.0,1946.0,5.0,7
"Conversion Disorder",18.0,1946.0,9.0,8
"Neurocirculatory Asthenia",17.0,1946.0,9.0,9
"Delirium",15.0,1946.0,3.0,10
"Dementia",13.0,1946.0,2.0,11
"Stuttering",13.0,1946.0,2.0,12
"Stress Disorders, Post-Traumatic",9.0,1946.0,2.0,13
"Amnesia",9.0,1946.0,2.0,14
"Conduct Disorder",7.0,1946.0,3.0,15
"Alzheimer Disease",7.0,1946.0,2.0,16
"Morphine Dependence",6.0,1946.0,3.0,17
"Mutism",4.0,1946.0,2.0,18
"Agnosia",4.0,1946.0,1.0,19
"Apraxias",4.0,1946.0,0,20
"Sexual Dysfunctions, Psychological",3.0,1946.0,2.0,21
"Firesetting Behavior",3.0,1946.0,0,22
"Dyslexia",3.0,1946.0,0,23
"Psychoses, Substance-Induced",3.0,1946.0,2.0,24
"Anorexia Nervosa",3.0,1946.0,1.0,25
"Masochism",2.0,1946.0,0,26
"Exhibitionism",2.0,1946.0,0,27
"Trichotillomania",2.0,1946.0,0,28
"Tay-Sachs Disease",2.0,1946.0,1.0,29
"Depersonalization",2.0,1946.0,0,30
"Obsessive-Compulsive Disorder",2.0,1946.0,0,31
"Autistic Disorder",1.0,1946.0,0,32
"Hypochondriasis",1.0,1946.0,0,33
"Dependent Personality Disorder",1.0,1946.0,0,34
"Schizophrenia, Paranoid",1.0,1946.0,0,35
"Dyscalculia",1.0,1946.0,0,36
"Creutzfeldt-Jakob Syndrome",1.0,1946.0,0,37
"Anomia",1.0,1946.0,0,38
"Premature Ejaculation",1.0,1946.0,0,39
"Kleine-Levin Syndrome",1.0,1946.0,0,40
"Disorders of Excessive Somnolence",1.0,1946.0,0,41
"Stereotypic Movement Disorder",1.0,1946.0,0,42
"Pica",1.0,1946.0,0,43
"Fetishism (Psychiatric)",1.0,1946.0,0,44
"Gerstmann Syndrome",1.0,1946.0,0,45
"Alcoholism",92.0,1947.0,89.0,1
"Schizophrenia",74.0,1947.0,62.0,2
"Depression",37.0,1947.0,38.0,3
"Depressive Disorder",34.0,1947.0,35.0,4
"Pellagra",31.0,1947.0,26.0,5
"Conversion Disorder",24.0,1947.0,18.0,6
"Aphasia",21.0,1947.0,27.0,7
"Bipolar Disorder",13.0,1947.0,23.0,8
"Stuttering",12.0,1947.0,13.0,9
"Neurocirculatory Asthenia",10.0,1947.0,17.0,10
"Conduct Disorder",7.0,1947.0,7.0,11
"Morphine Dependence",6.0,1947.0,6.0,12
"Sexual Dysfunctions, Psychological",6.0,1947.0,3.0,13
"Amnesia",5.0,1947.0,9.0,14
"Stress Disorders, Post-Traumatic",5.0,1947.0,9.0,15
"Alzheimer Disease",5.0,1947.0,7.0,16
"Exhibitionism",5.0,1947.0,2.0,17
"Dementia",5.0,1947.0,13.0,18
"Depersonalization",4.0,1947.0,2.0,19
"Masochism",4.0,1947.0,2.0,20
"Delirium",4.0,1947.0,15.0,21
"Tay-Sachs Disease",3.0,1947.0,2.0,22
"Apraxias",3.0,1947.0,4.0,23
"Stereotypic Movement Disorder",3.0,1947.0,1.0,24
"Agnosia",3.0,1947.0,4.0,25
"Obsessive-Compulsive Disorder",3.0,1947.0,2.0,26
"Fetishism (Psychiatric)",2.0,1947.0,1.0,27
"Gambling",2.0,1947.0,0,28
"Firesetting Behavior",2.0,1947.0,3.0,29
"Gerstmann Syndrome",2.0,1947.0,1.0,30
"Anorexia Nervosa",2.0,1947.0,3.0,31
"Schizophrenia, Paranoid",2.0,1947.0,1.0,32
"Dyslexia",2.0,1947.0,3.0,33
"Autistic Disorder",2.0,1947.0,1.0,34
"Trichotillomania",1.0,1947.0,2.0,35
"Mutism",1.0,1947.0,4.0,36
"Schizotypal Personality Disorder",1.0,1947.0,0,37
"Psychoses, Substance-Induced",1.0,1947.0,3.0,38
"Transvestism",1.0,1947.0,0,39
"Hypochondriasis",1.0,1947.0,1.0,40
"Dementia, Vascular",1.0,1947.0,0,41
"Histrionic Personality Disorder",1.0,1947.0,0,42
"Amnesia, Retrograde",1.0,1947.0,0,43
"Psychoses, Alcoholic",1.0,1947.0,0,44
"Alcoholism",100.0,1948.0,92.0,1
"Schizophrenia",89.0,1948.0,74.0,2
"Depression",28.0,1948.0,37.0,3
"Conversion Disorder",23.0,1948.0,24.0,4
"Pellagra",23.0,1948.0,31.0,5
"Depressive Disorder",22.0,1948.0,34.0,6
"Stuttering",19.0,1948.0,12.0,7
"Aphasia",18.0,1948.0,21.0,8
"Dementia",9.0,1948.0,5.0,9
"Anorexia Nervosa",9.0,1948.0,2.0,10
"Neurocirculatory Asthenia",8.0,1948.0,10.0,11
"Delirium",8.0,1948.0,4.0,12
"Conduct Disorder",7.0,1948.0,7.0,13
"Alzheimer Disease",6.0,1948.0,5.0,14
"Amnesia",6.0,1948.0,5.0,15
