name,value,year,lastValue,rank
"Depression",1.0,1938.0,0.0,1
"Depression",3.0,1944.0,1.0,1
"Dementia",1.0,1944.0,0.0,2
"Alcoholism",24.0,1945.0,0.0,1
"Schizophrenia",20.0,1945.0,0.0,2
"Depression",17.0,1945.0,3.0,3
"Pellagra",17.0,1945.0,0.0,4
"Neurocirculatory Asthenia",9.0,1945.0,0.0,5
"Conversion Disorder",9.0,1945.0,0.0,6
"Bipolar Disorder",5.0,1945.0,0.0,7
"Dementia",3.0,1945.0,1.0,8
"Delirium",3.0,1945.0,0.0,9
"Aphasia",3.0,1945.0,0.0,10
"Conduct Disorder",3.0,1945.0,0.0,11
"Morphine Dependence",3.0,1945.0,0.0,12
"Stuttering",2.0,1945.0,0.0,13
"Sexual Dysfunctions",2.0,1945.0,0.0,14
"Psychoses Substance-Induced",2.0,1945.0,0.0,15
"Alzheimer Disease",2.0,1945.0,0.0,16
"Amnesia",2.0,1945.0,0.0,17
"Mutism",2.0,1945.0,0.0,18
"Post-Traumatic Stress Disorder",2.0,1945.0,0.0,19
"Anorexia Nervosa",1.0,1945.0,0.0,20
"Agnosia",1.0,1945.0,0.0,21
"Tay-Sachs Disease",1.0,1945.0,0.0,22
"Alcoholism",113.0,1946.0,24.0,1
"Depression",90.0,1946.0,17.0,2
"Schizophrenia",83.0,1946.0,20.0,3
"Pellagra",43.0,1946.0,17.0,4
"Aphasia",30.0,1946.0,3.0,5
"Bipolar Disorder",28.0,1946.0,5.0,6
"Conversion Disorder",27.0,1946.0,9.0,7
"Neurocirculatory Asthenia",26.0,1946.0,9.0,8
"Delirium",18.0,1946.0,3.0,9
"Dementia",16.0,1946.0,3.0,10
"Stuttering",15.0,1946.0,2.0,11
"Amnesia",11.0,1946.0,2.0,12
"Post-Traumatic Stress Disorder",11.0,1946.0,2.0,13
"Conduct Disorder",10.0,1946.0,3.0,14
"Morphine Dependence",9.0,1946.0,3.0,15
"Alzheimer Disease",9.0,1946.0,2.0,16
"Mutism",6.0,1946.0,2.0,17
"Psychoses Substance-Induced",5.0,1946.0,2.0,18
"Agnosia",5.0,1946.0,1.0,19
"Sexual Dysfunctions",5.0,1946.0,2.0,20
"Anorexia Nervosa",4.0,1946.0,1.0,21
"Apraxias",4.0,1946.0,0.0,22
"Dyslexia",3.0,1946.0,0.0,23
"Tay-Sachs Disease",3.0,1946.0,1.0,24
"Firesetting Behavior",3.0,1946.0,0.0,25
"Obsessive-Compulsive Disorder",2.0,1946.0,0.0,26
"Masochism",2.0,1946.0,0.0,27
"Exhibitionism",2.0,1946.0,0.0,28
"Depersonalization",2.0,1946.0,0.0,29
"Trichotillomania",2.0,1946.0,0.0,30
"Fetishism (Psychiatric)",1.0,1946.0,0.0,31
"Disorders of Excessive Somnolence",1.0,1946.0,0.0,32
"Kleine-Levin Syndrome",1.0,1946.0,0.0,33
"Pica",1.0,1946.0,0.0,34
"Gerstmann Syndrome",1.0,1946.0,0.0,35
"Anomia",1.0,1946.0,0.0,36
"Autistic Disorder",1.0,1946.0,0.0,37
"Premature Ejaculation",1.0,1946.0,0.0,38
"Stereotypic Movement Disorder",1.0,1946.0,0.0,39
"Dyscalculia",1.0,1946.0,0.0,40
"Hypochondriasis",1.0,1946.0,0.0,41
"Creutzfeldt-Jakob Syndrome",1.0,1946.0,0.0,42
"Alcoholism",205.0,1947.0,113.0,1
"Depression",161.0,1947.0,90.0,2
"Schizophrenia",159.0,1947.0,83.0,3
"Pellagra",74.0,1947.0,43.0,4
"Conversion Disorder",51.0,1947.0,27.0,5
"Aphasia",51.0,1947.0,30.0,6
"Bipolar Disorder",41.0,1947.0,28.0,7
"Neurocirculatory Asthenia",36.0,1947.0,26.0,8
"Stuttering",27.0,1947.0,15.0,9
"Delirium",22.0,1947.0,18.0,10
"Dementia",22.0,1947.0,16.0,11
"Conduct Disorder",17.0,1947.0,10.0,12
"Amnesia",17.0,1947.0,11.0,13
"Post-Traumatic Stress Disorder",16.0,1947.0,11.0,14
"Morphine Dependence",15.0,1947.0,9.0,15
"Alzheimer Disease",14.0,1947.0,9.0,16
"Sexual Dysfunctions",11.0,1947.0,5.0,17
"Agnosia",8.0,1947.0,5.0,18
"Apraxias",7.0,1947.0,4.0,19
"Exhibitionism",7.0,1947.0,2.0,20
"Mutism",7.0,1947.0,6.0,21
"Tay-Sachs Disease",6.0,1947.0,3.0,22
"Psychoses Substance-Induced",6.0,1947.0,5.0,23
"Depersonalization",6.0,1947.0,2.0,24
"Anorexia Nervosa",6.0,1947.0,4.0,25
"Masochism",6.0,1947.0,2.0,26
"Dyslexia",5.0,1947.0,3.0,27
"Obsessive-Compulsive Disorder",5.0,1947.0,2.0,28
"Firesetting Behavior",5.0,1947.0,3.0,29
"Stereotypic Movement Disorder",4.0,1947.0,1.0,30
"Fetishism (Psychiatric)",3.0,1947.0,1.0,31
"Autistic Disorder",3.0,1947.0,1.0,32
"Trichotillomania",3.0,1947.0,2.0,33
"Gerstmann Syndrome",3.0,1947.0,1.0,34
"Hypochondriasis",2.0,1947.0,1.0,35
"Gambling",2.0,1947.0,0.0,36
"Psychoses Alcoholic",1.0,1947.0,0.0,37
"Schizotypal Personality Disorder",1.0,1947.0,0.0,38
"Histrionic Personality Disorder",1.0,1947.0,0.0,39
