name,value,year,lastValue,rank
"Depression",1.0,1938.0,0,1
"Depression",2.0,1944.0,1.0,1
"Dementia",1.0,1944.0,0,2
"Alcoholism",24.0,1945.0,0,1
"Schizophrenia",20.0,1945.0,0,2
"Pellagra",17.0,1945.0,0,3
"Depression",14.0,1945.0,2.0,4
"Neurocirculatory Asthenia",9.0,1945.0,0,5
"Conversion Disorder",9.0,1945.0,0,6
"Bipolar Disorder",5.0,1945.0,0,7
"Delirium",3.0,1945.0,0,8
"Conduct Disorder",3.0,1945.0,0,9
"Aphasia",3.0,1945.0,0,10
"Morphine Dependence",3.0,1945.0,0,11
"Psychoses Substance-Induced",2.0,1945.0,0,12
"Alzheimer Disease",2.0,1945.0,0,13
"Dementia",2.0,1945.0,1.0,14
"Sexual Dysfunctions",2.0,1945.0,0,15
"Amnesia",2.0,1945.0,0,16
"Stuttering",2.0,1945.0,0,17
"Mutism",2.0,1945.0,0,18
"Post-Traumatic Stress Disorder",2.0,1945.0,0,19
"Anorexia Nervosa",1.0,1945.0,0,20
"Agnosia",1.0,1945.0,0,21
"Tay-Sachs Disease",1.0,1945.0,0,22
"Alcoholism",89.0,1946.0,24.0,1
"Depression",73.0,1946.0,14.0,2
"Schizophrenia",63.0,1946.0,20.0,3
"Aphasia",27.0,1946.0,3.0,4
"Pellagra",26.0,1946.0,17.0,5
"Bipolar Disorder",23.0,1946.0,5.0,6
"Conversion Disorder",18.0,1946.0,9.0,7
"Neurocirculatory Asthenia",17.0,1946.0,9.0,8
"Delirium",15.0,1946.0,3.0,9
"Dementia",13.0,1946.0,2.0,10
"Stuttering",13.0,1946.0,2.0,11
"Post-Traumatic Stress Disorder",9.0,1946.0,2.0,12
"Amnesia",9.0,1946.0,2.0,13
"Conduct Disorder",7.0,1946.0,3.0,14
"Alzheimer Disease",7.0,1946.0,2.0,15
"Morphine Dependence",6.0,1946.0,3.0,16
"Agnosia",4.0,1946.0,1.0,17
"Mutism",4.0,1946.0,2.0,18
"Apraxias",4.0,1946.0,0,19
"Anorexia Nervosa",3.0,1946.0,1.0,20
"Psychoses Substance-Induced",3.0,1946.0,2.0,21
"Firesetting Behavior",3.0,1946.0,0,22
"Sexual Dysfunctions",3.0,1946.0,2.0,23
"Dyslexia",3.0,1946.0,0,24
"Trichotillomania",2.0,1946.0,0,25
"Obsessive-Compulsive Disorder",2.0,1946.0,0,26
"Tay-Sachs Disease",2.0,1946.0,1.0,27
"Depersonalization",2.0,1946.0,0,28
"Masochism",2.0,1946.0,0,29
"Exhibitionism",2.0,1946.0,0,30
"Disorders of Excessive Somnolence",1.0,1946.0,0,31
"Dyscalculia",1.0,1946.0,0,32
"Autistic Disorder",1.0,1946.0,0,33
"Pica",1.0,1946.0,0,34
"Kleine-Levin Syndrome",1.0,1946.0,0,35
"Gerstmann Syndrome",1.0,1946.0,0,36
"Creutzfeldt-Jakob Syndrome",1.0,1946.0,0,37
"Premature Ejaculation",1.0,1946.0,0,38
"Stereotypic Movement Disorder",1.0,1946.0,0,39
"Hypochondriasis",1.0,1946.0,0,40
"Anomia",1.0,1946.0,0,41
"Fetishism (Psychiatric)",1.0,1946.0,0,42
"Alcoholism",92.0,1947.0,89.0,1
"Schizophrenia",76.0,1947.0,63.0,2
"Depression",71.0,1947.0,73.0,3
"Pellagra",31.0,1947.0,26.0,4
"Conversion Disorder",24.0,1947.0,18.0,5
"Aphasia",21.0,1947.0,27.0,6
"Bipolar Disorder",13.0,1947.0,23.0,7
"Stuttering",12.0,1947.0,13.0,8
"Neurocirculatory Asthenia",10.0,1947.0,17.0,9
"Conduct Disorder",7.0,1947.0,7.0,10
"Amnesia",6.0,1947.0,9.0,11
"Dementia",6.0,1947.0,13.0,12
"Sexual Dysfunctions",6.0,1947.0,3.0,13
"Morphine Dependence",6.0,1947.0,6.0,14
"Alzheimer Disease",5.0,1947.0,7.0,15
"Post-Traumatic Stress Disorder",5.0,1947.0,9.0,16
"Exhibitionism",5.0,1947.0,2.0,17
"Masochism",4.0,1947.0,2.0,18
"Depersonalization",4.0,1947.0,2.0,19
"Delirium",4.0,1947.0,15.0,20
"Apraxias",3.0,1947.0,4.0,21
"Obsessive-Compulsive Disorder",3.0,1947.0,2.0,22
"Agnosia",3.0,1947.0,4.0,23
"Stereotypic Movement Disorder",3.0,1947.0,1.0,24
"Tay-Sachs Disease",3.0,1947.0,2.0,25
"Fetishism (Psychiatric)",2.0,1947.0,1.0,26
"Firesetting Behavior",2.0,1947.0,3.0,27
"Gambling",2.0,1947.0,0,28
"Anorexia Nervosa",2.0,1947.0,3.0,29
"Dyslexia",2.0,1947.0,3.0,30
"Autistic Disorder",2.0,1947.0,1.0,31
"Gerstmann Syndrome",2.0,1947.0,1.0,32
"Psychoses Substance-Induced",1.0,1947.0,3.0,33
"Transvestism",1.0,1947.0,0,34
"Histrionic Personality Disorder",1.0,1947.0,0,35
"Trichotillomania",1.0,1947.0,2.0,36
"Hypochondriasis",1.0,1947.0,1.0,37
"Schizotypal Personality Disorder",1.0,1947.0,0,38
"Psychoses Alcoholic",1.0,1947.0,0,39
"Mutism",1.0,1947.0,4.0,40
"Alcoholism",100.0,1948.0,92.0,1
"Schizophrenia",91.0,1948.0,76.0,2
"Depression",50.0,1948.0,71.0,3
"Conversion Disorder",23.0,1948.0,24.0,4
"Pellagra",23.0,1948.0,31.0,5
"Stuttering",19.0,1948.0,12.0,6
"Aphasia",19.0,1948.0,21.0,7
"Anorexia Nervosa",9.0,1948.0,2.0,8
"Dementia",9.0,1948.0,6.0,9
"Delirium",8.0,1948.0,4.0,10
"Neurocirculatory Asthenia",8.0,1948.0,10.0,11
"Amnesia",7.0,1948.0,6.0,12
"Conduct Disorder",7.0,1948.0,7.0,13
"Alzheimer Disease",6.0,1948.0,5.0,14
"Agnosia",6.0,1948.0,3.0,15
"Post-Traumatic Stress Disorder",5.0,1948.0,5.0,16
"Dyslexia",5.0,1948.0,2.0,17
"Morphine Dependence",5.0,1948.0,6.0,18
"Psychoses Substance-Induced",4.0,1948.0,1.0,19
"Hypochondriasis",4.0,1948.0,1.0,20
"Exhibitionism",4.0,1948.0,5.0,21
"Bipolar Disorder",4.0,1948.0,13.0,22
"Mutism",3.0,1948.0,1.0,23
"Gerstmann Syndrome",2.0,1948.0,2.0,24
"Apraxias",2.0,1948.0,3.0,25
"Tay-Sachs Disease",2.0,1948.0,3.0,26
"Agraphia",2.0,1948.0,0,27
"Dyscalculia",2.0,1948.0,1.0,28
"Masochism",2.0,1948.0,4.0,29
"Depersonalization",2.0,1948.0,4.0,30
"Obsessive-Compulsive Disorder",1.0,1948.0,3.0,31
"Cyclothymic Disorder",1.0,1948.0,0,32
"Autistic Disorder",1.0,1948.0,2.0,33
"Anomia",1.0,1948.0,1.0,34
"Sexual Dysfunctions",1.0,1948.0,6.0,35
"Marijuana Abuse",1.0,1948.0,0,36
"Fetishism (Psychiatric)",1.0,1948.0,2.0,37
"Pica",1.0,1948.0,1.0,38
"Histrionic Personality Disorder",1.0,1948.0,1.0,39
"Gambling",1.0,1948.0,2.0,40
"Trichotillomania",1.0,1948.0,1.0,41
"Schizophrenia",114.0,1949.0,91.0,1
"Alcoholism",110.0,1949.0,100.0,2
"Depression",48.0,1949.0,50.0,3
"Aphasia",24.0,1949.0,19.0,4
"Conversion Disorder",16.0,1949.0,23.0,5
"Pellagra",14.0,1949.0,23.0,6
"Stuttering",13.0,1949.0,19.0,7
"Bipolar Disorder",11.0,1949.0,4.0,8
"Delirium",9.0,1949.0,8.0,9
"Neurocirculatory Asthenia",8.0,1949.0,8.0,10
"Amnesia",7.0,1949.0,7.0,11
"Dyslexia",7.0,1949.0,5.0,12
"Dementia",7.0,1949.0,9.0,13
"Alzheimer Disease",7.0,1949.0,6.0,14
"Obsessive-Compulsive Disorder",6.0,1949.0,1.0,15
"Anorexia Nervosa",6.0,1949.0,9.0,16
"Apraxias",4.0,1949.0,2.0,17
"Sexual Dysfunctions",4.0,1949.0,1.0,18
"Morphine Dependence",3.0,1949.0,5.0,19
"Hypochondriasis",3.0,1949.0,4.0,20
"Depersonalization",2.0,1949.0,2.0,21
"Fetishism (Psychiatric)",2.0,1949.0,1.0,22
"Stereotypic Movement Disorder",2.0,1949.0,3.0,23
"Mutism",2.0,1949.0,3.0,24
"Agraphia",2.0,1949.0,2.0,25
"Post-Traumatic Stress Disorder",2.0,1949.0,5.0,26
"Postpartum Depression",1.0,1949.0,0,27
"Autistic Disorder",1.0,1949.0,1.0,28
"Dissociative Identity Disorder",1.0,1949.0,0,29
"Gambling",1.0,1949.0,1.0,30
"Conduct Disorder",1.0,1949.0,7.0,31
"Psychoses Alcoholic",1.0,1949.0,1.0,32
"Psychoses Substance-Induced",1.0,1949.0,4.0,33
"Exhibitionism",1.0,1949.0,4.0,34
"Premature Ejaculation",1.0,1949.0,1.0,35
"Sleep Apnea",1.0,1949.0,0,36
"Echolalia",1.0,1949.0,0,37
"Sadism",1.0,1949.0,0,38
"Bruxism",1.0,1949.0,0,39
"Bulimia",1.0,1949.0,0,40
"Alcoholism",169.0,1950.0,110.0,1
"Schizophrenia",168.0,1950.0,114.0,2
"Depression",89.0,1950.0,48.0,3
"Bipolar Disorder",41.0,1950.0,11.0,4
"Aphasia",35.0,1950.0,24.0,5
"Conversion Disorder",24.0,1950.0,16.0,6
"Pellagra",22.0,1950.0,14.0,7
"Dementia",22.0,1950.0,7.0,8
"Delirium",19.0,1950.0,9.0,9
"Obsessive-Compulsive Disorder",17.0,1950.0,6.0,10
"Psychoses Substance-Induced",16.0,1950.0,1.0,11
"Neurocirculatory Asthenia",15.0,1950.0,8.0,12
"Amnesia",14.0,1950.0,7.0,13
"Stuttering",14.0,1950.0,13.0,14
"Sexual Dysfunctions",10.0,1950.0,4.0,15
"Agnosia",8.0,1950.0,6.0,16
"Hypochondriasis",8.0,1950.0,3.0,17
"Anorexia Nervosa",7.0,1950.0,6.0,18
"Dyslexia",6.0,1950.0,7.0,19
"Alzheimer Disease",6.0,1950.0,7.0,20
"Apraxias",5.0,1950.0,4.0,21
"Tay-Sachs Disease",5.0,1950.0,2.0,22
"Conduct Disorder",5.0,1950.0,1.0,23
"Agraphia",4.0,1950.0,2.0,24
"Bulimia",3.0,1950.0,1.0,25
"Bruxism",3.0,1950.0,1.0,26
"Stereotypic Movement Disorder",3.0,1950.0,2.0,27
"Schizotypal Personality Disorder",3.0,1950.0,1.0,28
"Post-Traumatic Stress Disorder",2.0,1950.0,2.0,29
"Exhibitionism",2.0,1950.0,1.0,30
