name,value,year,lastValue,rank,color
"Brucella",2.0,1943.0,0.0,1,"red"
"Coccidia",1.0,1943.0,0.0,2,"red"
"Rickettsia",1.0,1943.0,0.0,3,"red"
"Mycobacterium tuberculosis",9.0,1944.0,0.0,1,"red"
"Varicella Zoster virus",2.0,1944.0,0.0,2,"red"
"HAV",2.0,1944.0,0.0,3,"red"
"Rickettsia",2.0,1944.0,1.0,4,"red"
"Plasmodium",2.0,1944.0,0.0,5,"red"
"Variola",1.0,1944.0,0.0,6,"red"
"Streptococcus pyogenes",1.0,1944.0,0.0,7,"red"
"Eurotiomycetes",1.0,1944.0,0.0,8,"red"
"Salmonella enterica",1.0,1944.0,0.0,9,"red"
"HEV",1.0,1944.0,0.0,10,"red"
"Chlamydia",1.0,1944.0,0.0,11,"red"
"Clostridium",1.0,1944.0,0.0,12,"red"
"Poliovirus",1.0,1944.0,0.0,13,"red"
"Yersinia pestis",1.0,1944.0,0.0,14,"red"
"Mycobacterium tuberculosis",287.0,1945.0,9.0,1,"red"
"Plasmodium",252.0,1945.0,2.0,2,"red"
"Treponema",94.0,1945.0,0.0,3,"red"
"Salmonella enterica",91.0,1945.0,1.0,4,"red"
"Mycobacterium leprae",80.0,1945.0,0.0,5,"red"
"Rickettsia",72.0,1945.0,2.0,6,"red"
"Leishmania",71.0,1945.0,0.0,7,"red"
"Streptococcus pyogenes",66.0,1945.0,1.0,8,"red"
"Clostridium",63.0,1945.0,1.0,9,"red"
"Influenza virus",61.0,1945.0,0.0,10,"red"
"Brucella",61.0,1945.0,2.0,11,"red"
"Neisseria gonorrhoeae",58.0,1945.0,0.0,12,"red"
"Poliovirus",55.0,1945.0,1.0,13,"red"
"Entamoeba histolytica",45.0,1945.0,0.0,14,"red"
"HAV",36.0,1945.0,2.0,15,"red"
"Chlamydia",32.0,1945.0,1.0,16,"red"
"Borrelia",31.0,1945.0,0.0,17,"red"
"Schistosoma",30.0,1945.0,0.0,18,"red"
"Echinococcus",27.0,1945.0,0.0,19,"red"
"Sarcoptes scabiei",22.0,1945.0,0.0,20,"red"
"Filarial worms",21.0,1945.0,0.0,21,"red"
"Rabies virus",21.0,1945.0,0.0,22,"red"
"Trypanosoma",21.0,1945.0,0.0,23,"red"
"Shigella",20.0,1945.0,0.0,24,"red"
"Vibrio cholerae",20.0,1945.0,0.0,25,"red"
"Orientia tsutsugamushi",17.0,1945.0,0.0,26,"red"
"YFV",16.0,1945.0,0.0,27,"red"
"EBV",16.0,1945.0,0.0,28,"red"
"Leptospira",16.0,1945.0,0.0,29,"red"
"Ascaris",15.0,1945.0,0.0,30,"red"
"Erysipelothrix",15.0,1945.0,0.0,31,"red"
"Yersinia pestis",14.0,1945.0,1.0,32,"red"
"Varicella Zoster virus",14.0,1945.0,2.0,33,"red"
"Actinomyces",12.0,1945.0,0.0,34,"red"
"Blastomyces dermatitidis",11.0,1945.0,0.0,35,"red"
"Klebsiella",11.0,1945.0,0.0,36,"red"
"Variola",11.0,1945.0,1.0,37,"red"
"Measles virus",10.0,1945.0,0.0,38,"red"
"Bacillus anthracis",10.0,1945.0,0.0,39,"red"
"Pediculus",10.0,1945.0,0.0,40,"red"
"Enterobius vermicularis",10.0,1945.0,0.0,41,"red"
"Trichomonas vaginalis",9.0,1945.0,0.0,42,"red"
"Fusobacterium",9.0,1945.0,0.0,43,"red"
"DENV",9.0,1945.0,0.0,44,"red"
"Ancylostoma",8.0,1945.0,0.0,45,"red"
"Babesia",7.0,1945.0,0.0,46,"red"
"Haemophilus ducreyi",7.0,1945.0,0.0,47,"red"
"Fly larva",6.0,1945.0,0.0,48,"red"
"Onchocerca",6.0,1945.0,0.0,49,"red"
"Coccidia",6.0,1945.0,1.0,50,"red"
